n,plugin_error,debiased_error
32,-0.01866857182916115,-0.0785107247073748
32,-0.03225790420395319,-0.08014428052867167
32,0.05445668469406778,0.004787738078375903
32,-0.07887529366632345,-0.1325850463100034
32,0.15198339256326648,0.08997290359008842
32,0.38091116197043723,0.310177555120751
32,0.13594922293793493,0.08030888042061607
32,-0.02373257208114099,-0.08053708029563289
32,0.013912333386832454,-0.028183840276982897
32,-0.19884827360661128,-0.25650602860640637
32,0.10408577638661448,0.048976880857126315
32,0.09282251504553868,0.05088903375371234
32,0.07060606894376192,-0.001139371728733296
32,-0.18662855190260452,-0.22742086274104611
32,-0.09204607690734368,-0.14355787243882406
32,0.1396967316018069,0.08396955789905519
32,0.1482623264123099,0.07057359841974631
32,0.14646261810222233,0.11014210519338458
32,0.0810825466526966,0.013620412866804932
32,-0.10415110543202277,-0.1706393137400949
32,-0.15882689349587875,-0.2149611601576782
32,0.010633361310522504,-0.04286554463407627
32,0.19540351160293595,0.13734645903300963
32,0.05355846741348613,0.0023144859762660452
32,0.07244160820265438,0.012631244038842748
32,0.11638337918404434,0.07088166229133225
32,-0.01014959836376833,-0.05179283275721913
32,-0.2219513129190441,-0.2835518742802533
32,0.052369163453145295,-0.017890945718576856
32,0.15526151536847205,0.0831344880691996
32,-0.0904230184866408,-0.14948344162452343
32,-0.0731137642840935,-0.1458357183957671
32,0.17398642518068136,0.11418141929832376
32,0.39532567450106176,0.35257780244366393
32,0.15985408957495734,0.09944628406718786
32,0.0554297183830722,-0.007819770166140383
32,0.12445609497566418,0.05353860124991516
32,0.06840098087504898,0.0028299902569979274
32,0.288368000916902,0.2254894876395413
32,-0.18140636738800814,-0.24376345818805106
32,-0.18713763974269967,-0.23390064126159418
32,0.21977850017633033,0.17720868797045058
32,0.137759567068167,0.09754167455938761
32,0.05792854789894486,-0.0024845508713041142
32,0.25914766676527484,0.19681924287959746
32,-0.0461600536282018,-0.09342122688180532
32,0.1310408334672088,0.07916806848543384
32,0.05423132106839956,0.008344555026650158
32,0.15869075883982214,0.10460530014000397
32,0.10071814937754281,0.0537936682854645
32,0.036819885111504136,-0.01834850136704186
32,0.1977469140880636,0.11813338332408513
32,0.02202647109908079,-0.0568970914819954
32,0.05868268863012838,0.014689232833203059
32,-0.14556676232442373,-0.21133673216615181
32,0.04607496331823607,-0.013958501821776437
32,0.08172646505330067,0.03825020306356225
32,0.02119218200578804,-0.029461289322409157
32,0.1019661288679154,0.037749059564260556
32,-0.015309435317722997,-0.06173549515435256
32,0.2964340395460093,0.2346029730783517
32,0.1951357949330485,0.1457726431618554
32,-0.3308796659509442,-0.391449457009027
32,0.06084957910798772,0.009015482002430852
32,0.12257903534032394,0.06846834756510073
32,0.24042627609770545,0.19142256708891997
32,0.173167409980246,0.12666652074785506
32,0.0008901380005420512,-0.0739306496950225
32,0.014961770075699987,-0.04748190132385016
32,-0.08838139700825431,-0.16113377707345777
32,0.2956071421854913,0.25294483773687465
32,0.3266561518869116,0.25385502698055146
32,0.15950729603417496,0.1072805885783113
32,0.12821086718073788,0.08672466112118521
32,-0.24024761666105254,-0.2918716450572373
32,0.08250111364471197,0.0469859205730056
32,0.39425400264482274,0.32657422706298206
32,-0.053148781064678186,-0.09411097762413323
32,0.12518419133498,0.06117684197228895
32,0.043111245377459084,-0.017518347232471587
32,-0.013471508862537451,-0.07919247549768071
32,0.22047594910258045,0.1699501438259569
32,0.06997977975995345,0.03061050930161152
32,-0.1502207832815718,-0.21285041173129002
32,-0.016290471940269946,-0.07105018579550842
32,0.0890144837799724,0.053833594288125286
32,0.2912379819329765,0.24872826153860345
