seed,episode,method,asset,weight
0,76,DRCPT-PG,Stock_3,0.00021583639407740914
0,76,DRCPT-PG,Stock_4,0.026340787246347228
0,76,DRCPT-PG,Stock_5,7.866893994552776e-05
0,77,DRCPT-PG,Cash,0.048217683492569066
0,77,DRCPT-PG,Stock_1,0.937927017946542
0,77,DRCPT-PG,Stock_2,0.0016427127378457677
0,77,DRCPT-PG,Stock_3,7.127644996066809e-05
0,77,DRCPT-PG,Stock_4,0.011699312513312373
0,77,DRCPT-PG,Stock_5,0.0004419968597702103
0,78,DRCPT-PG,Cash,0.055378071660482725
0,78,DRCPT-PG,Stock_1,0.9116130915205034
0,78,DRCPT-PG,Stock_2,0.009132162246510488
0,78,DRCPT-PG,Stock_3,8.181213372606976e-05
0,78,DRCPT-PG,Stock_4,0.023492927945192577
0,78,DRCPT-PG,Stock_5,0.00030193449358482954
0,79,DRCPT-PG,Cash,0.015914607157010572
0,79,DRCPT-PG,Stock_1,0.9274043104995235
0,79,DRCPT-PG,Stock_2,0.006577363191950903
0,79,DRCPT-PG,Stock_3,7.010843606151753e-05
0,79,DRCPT-PG,Stock_4,0.04974174782540352
0,79,DRCPT-PG,Stock_5,0.000291862890050109
0,80,DRCPT-PG,Cash,0.003951412665998456
0,80,DRCPT-PG,Stock_1,0.9518042184937404
0,80,DRCPT-PG,Stock_2,0.002482221614621155
0,80,DRCPT-PG,Stock_3,0.0005255786048605748
0,80,DRCPT-PG,Stock_4,0.041080634872259984
0,80,DRCPT-PG,Stock_5,0.0001559337485194527
0,81,DRCPT-PG,Cash,0.0010290939850143854
0,81,DRCPT-PG,Stock_1,0.9802170824410359
0,81,DRCPT-PG,Stock_2,0.0011846743692328885
0,81,DRCPT-PG,Stock_3,0.0002182820645253279
0,81,DRCPT-PG,Stock_4,0.01684495590069988
0,81,DRCPT-PG,Stock_5,0.0005059112394915694
0,82,DRCPT-PG,Cash,0.0003452349173985954
0,82,DRCPT-PG,Stock_1,0.9861004447118817
