seed,episode,method,regime,wealth,reference,ret,turnover,local_regret,smoothed_regret,dynamic_local_regret,ref_gap,cash_weight
0,10,DRCPT-PG,Uptrend,1.034635110612346,1.0280406933732227,0.007095119324993296,0.10164347928643053,0.04399812843355315,0.048535557634589103,0.35098413640846154,0.00659441723912324,0.0005986236844131143
0,11,DRCPT-PG,Uptrend,1.0303285876521426,1.0289558510847907,-0.004162359189274549,0.03504112166840537,0.023422600641912105,0.045522002795467864,0.3965061392039294,0.0013727365673519287,0.00018559821244137662
0,12,DRCPT-PG,Uptrend,1.0346516270537944,1.031234161472392,0.004195787104677778,0.4858398597603017,0.08207349685908705,0.04990818208310216,0.44641432128703157,0.0034174655814023236,0.0005322200984473907
0,13,DRCPT-PG,Uptrend,1.0413135828552804,1.0352659300255473,0.006438839535251151,0.1039604906313909,0.07205108448213296,0.05256533037098586,0.49897965165801744,0.0060476528297330745,0.0005073432735433943
0,14,DRCPT-PG,Uptrend,1.0526167411140095,1.0422062544609323,0.01085471124628553,0.45554709142005395,0.03553300904859824,0.05052145181229935,0.5495011034703168,0.0104104866530772,0.00030517131369011216
0,15,DRCPT-PG,Uptrend,1.0505367353111807,1.0455384468010316,-0.0019760333667384854,0.1012105546432869,0.016126567871707544,0.046394065739428336,0.5958951692097452,0.0049982885101491625,0.0018612606790446152
0,16,DRCPT-PG,Uptrend,1.0573627664515297,1.0502681746612308,0.006497660587116146,0.01896513574341895,0.08285063224686107,0.050768853720320264,0.6466640229300654,0.007094591790298921,0.0007161206075783177
0,17,DRCPT-PG,Uptrend,1.0660549143937976,1.0565828705542575,0.008220592040930721,0.04461671920759639,0.04471353263498266,0.05004221519007975,0.6967062381201452,0.009472043839540145,0.00025514927508384885
0,18,DRCPT-PG,Uptrend,1.070034151728512,1.0619633830239592,0.003732675757118219,0.02261527196542836,0.07352666119402133,0.05286034871055274,0.749566586830698,0.0080707687045527,0.0003124146008632363
0,19,DRCPT-PG,Uptrend,1.0701194982284146,1.0652258291057413,7.976053826394903e-05,0.012488764971852011,0.041456904931574515,0.05149193545707535,0.8010585222877733,0.004893669122673305,0.000512410539031978
0,20,DRCPT-PG,Uptrend,1.073057584394368,1.0683585312211918,0.002745568294772045,0.007620479724495326,0.041724097505862076,0.05031979490292976,0.851378317190703,0.004699053173176093,0.00019963923320476438
0,21,DRCPT-PG,Uptrend,1.0785519029072095,1.0724358798955989,0.005120245728417777,0.047990716098833486,0.03974910761162465,0.04905131242797314,0.9004296296186761,0.006116023011610627,0.0001314712807075795
0,22,DRCPT-PG,Uptrend,1.0825863445335715,1.0764960657507878,0.003740609622482938,0.34786585810546566,0.10100045376630064,0.05528520938857244,0.9557148390072485,0.006090278782783676,0.0013416218209217976
0,23,DRCPT-PG,Uptrend,1.076643341168786,1.076554975917987,-0.005489634517186008,0.29323145533527006,0.09050815793200044,0.0595119632137838,1.0152268022210322,8.83652507988053e-05,0.0007266977509719093
0,24,DRCPT-PG,Uptrend,1.0885327093825923,1.0813460693038293,0.011042996096459732,0.08079548881017483,0.0457554621215713,0.0578611830827183,1.0730879853037505,0.007186640078763018,0.0004093474512764021
0,25,DRCPT-PG,Uptrend,1.085321149796797,1.0829361015010164,-0.0029503565286677635,0.02475338733711931,0.0747970530773726,0.05989348748207682,1.1329814727858274,0.0023850482957805674,0.0005617975639564909
0,26,DRCPT-PG,Uptrend,1.1043799202625413,1.0915136290056264,0.017560489325498446,0.02210187673923141,0.04436357033995245,0.0580298974250219,1.1910113702108494,0.012866291256914852,0.001581946837567304
0,27,DRCPT-PG,Uptrend,1.1129579559030565,1.1000913597645985,0.0077672868576565655,0.0812958523225278,0.037508910544521185,0.05556737899936181,1.2465787492102112,0.012866596138457975,0.00047443998317693933
0,28,DRCPT-PG,Uptrend,1.0965481440876113,1.0997370381968998,-0.014744323205030885,0.06760710648087873,0.05589330193211474,0.05560648975129216,1.3021852389615034,-0.003188894109288576,0.00023565663622082705
0,29,DRCPT-PG,Uptrend,1.1203580356094414,1.1079854371619164,0.02171349397672023,0.11728490186693559,0.11790919251512377,0.06308281408295195,1.3652680530444554,0.012372598447524918,0.002080509877852037
