dimension,M,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
2,32,59,118,-0.009977317862162794,0.010537525032578115,,,,,,,,
2,64,59,280,0.00847911387130533,0.0038707721097005,,,,,,,,
2,128,59,628,0.015473597591668388,0.005956330680106441,,,,,,,,
2,8,60,26,-0.07333645838016384,0.0215002594873549,,,,,,,,
2,16,60,84,-0.053602656401401334,0.006763408042286075,,,,,,,,
2,32,60,160,-0.019870744980138504,0.008368625603760393,,,,,,,,
2,64,60,310,-0.025287301766952496,0.006227915338961578,,,,,,,,
2,128,60,708,-0.017657312542067444,0.001689430091108321,,,,,,,,
2,8,61,30,-0.015320424957320266,0.015880816542508176,,,,,,,,
2,16,61,68,-0.011930124720037568,-0.005998317838272713,,,,,,,,
2,32,61,126,-0.021174631671704212,-0.00024439157517229266,,,,,,,,
2,64,61,260,0.00932559783781526,0.005182326441512846,,,,,,,,
2,128,61,538,0.017803382090863303,0.003920470372956412,,,,,,,,
2,8,62,44,-0.039414526163997696,-0.005281513320228862,,,,,,,,
2,16,62,138,-0.012510874229980058,0.0028193884289789708,,,,,,,,
2,32,62,234,-0.004740441437636231,0.0023836828777946913,,,,,,,,
2,64,62,412,-0.0025967448613134184,0.004113027864143364,,,,,,,,
2,128,62,666,-0.0025477214665512136,0.003933108240853875,,,,,,,,
2,8,63,26,0.00779267956024344,-0.0085497632550548,,,,,,,,
2,16,63,50,0.004031631799957463,-0.0013849679880431787,,,,,,,,
2,32,63,128,0.006748427094302526,-0.0030386892749160845,,,,,,,,
2,64,63,298,0.0083524906616042,-0.0020426714262382992,,,,,,,,
2,128,63,644,-0.005386009318714632,-0.004108344610283947,,,,,,,,
2,8,64,34,-0.008141284962941104,-0.0014374112353006073,,,,,,,,
2,16,64,96,-0.008363136766894933,0.0026409898077108577,,,,,,,,
2,32,64,192,0.002732219988388594,0.0033727640992336086,,,,,,,,
2,64,64,326,-8.74595628273865e-06,0.0018300173675546568,,,,,,,,
2,128,64,770,-0.010354501850534248,0.0007593925296168372,,,,,,,,
2,8,65,34,0.12759420651242878,0.019608394010568943,,,,,,,,
2,16,65,76,0.07107696949853182,0.010548469142972408,,,,,,,,
2,32,65,196,0.031318570379676884,0.0012596899102521695,,,,,,,,
2,64,65,308,0.02229271732242858,0.0013098675029502127,,,,,,,,
2,128,65,574,-0.0012251880224092163,-0.0016078654983735959,,,,,,,,
2,8,66,32,0.014581563990347091,0.005636957322348016,,,,,,,,
2,16,66,64,-0.018264851440037908,0.0026385013154997306,,,,,,,,
2,32,66,138,-0.013446100332446736,-0.0007801483684035256,,,,,,,,
2,64,66,286,-0.008921953851597242,0.0005447885942381242,,,,,,,,
2,128,66,584,-0.01121361207726994,-9.173863907837627e-06,,,,,,,,
2,8,67,36,-0.00943612113519683,-0.0005149556112832693,,,,,,,,
2,16,67,66,0.003672128239527449,-0.0016765684227204212,,,,,,,,
2,32,67,128,0.017974103985273698,0.008228607455404416,,,,,,,,
2,64,67,362,-0.0037863303881995134,0.00760292499158078,,,,,,,,
2,128,67,678,-0.010881784172694087,0.0019792936791056532,,,,,,,,
2,8,68,30,-0.029833743187573446,-0.010669295163236283,,,,,,,,
2,16,68,70,0.00394567411797077,-0.009947665541461767,,,,,,,,
2,32,68,148,0.013459316983392478,-0.004893328015581444,,,,,,,,
2,64,68,312,0.019302877073501527,-0.005814903630864083,,,,,,,,
2,128,68,636,0.008821958134954325,-0.0030801622893878696,,,,,,,,
2,8,69,56,0.0168855808410292,-0.003770575211501891,,,,,,,,
2,16,69,84,-0.00365104906014195,0.006188705097087176,,,,,,,,
2,32,69,210,-0.048300949383329614,0.0011963115743043157,,,,,,,,
2,64,69,356,-0.03717782733474912,0.004647268177941656,,,,,,,,
2,128,69,782,-0.013150405056268083,0.0038767769687029336,,,,,,,,
2,8,70,30,0.06567734130656613,-0.012213232317345732,,,,,,,,
2,16,70,86,0.021495442433345065,0.0034713137420296723,,,,,,,,
2,32,70,172,0.012394133340022847,-0.0038046917918517684,,,,,,,,
2,64,70,402,0.0011953214009393146,-0.0043121387491867015,,,,,,,,
2,128,70,862,0.005407240141956527,0.002028412940197912,,,,,,,,
2,8,71,28,0.001481537149432476,0.0009520944874292959,,,,,,,,
2,16,71,56,0.02438608279510796,0.004140810396759257,,,,,,,,
2,32,71,110,-0.004262634603036786,0.0034670792271890715,,,,,,,,
2,64,71,230,0.010022458874588719,0.0034235171528132747,,,,,,,,
2,128,71,534,0.017565908704490218,-0.00022074685545990503,,,,,,,,
2,8,72,36,0.028965485244016792,0.008880171971856334,,,,,,,,
2,16,72,66,0.0003985334125460385,0.010546718438564629,,,,,,,,
2,32,72,128,-0.008142270636689658,0.008753700920209068,,,,,,,,
2,64,72,358,-0.0092574130652586,0.005357970261944542,,,,,,,,
2,128,72,620,-0.002954206715259821,0.007745415312115974,,,,,,,,
2,8,73,58,-0.01951088501511661,0.002642637611114763,,,,,,,,
2,16,73,86,-0.031618164627501895,-0.0029825331191023975,,,,,,,,
2,32,73,156,-0.034049849243435286,-0.003516910673590073,,,,,,,,
2,64,73,300,-0.007479038784973747,-0.003625608047892698,,,,,,,,
2,128,73,594,-0.004569976668353641,0.0025127831251208553,,,,,,,,
2,8,74,28,0.005773835100114191,-0.022223589239939074,,,,,,,,
2,16,74,54,-0.04363261094522681,-0.01933294611318403,,,,,,,,
2,32,74,116,-0.03572418969285305,-0.006673845401647326,,,,,,,,
2,64,74,244,-0.013332329963965304,-0.007183114855199544,,,,,,,,
2,128,74,552,-0.007129115782484511,0.00036276949563833125,,,,,,,,
2,8,75,26,0.03343816804622679,0.0040209368532012745,,,,,,,,
2,16,75,62,0.018666020156730537,0.0011311111316279232,,,,,,,,
2,32,75,146,0.010819582249241334,-0.0039198627615614256,,,,,,,,
2,64,75,296,0.011090594646354989,0.0005731506815337624,,,,,,,,
2,128,75,558,-0.00031393226282614946,0.0010730938192403201,,,,,,,,
2,8,76,36,-0.012600488125821912,-0.0005308512389543348,,,,,,,,
2,16,76,66,0.016699205745350453,0.0021563497880386,,,,,,,,
2,32,76,126,0.01581753057967963,-0.0014249747537653735,,,,,,,,
2,64,76,252,0.011149091214495827,0.003745491825381674,,,,,,,,
2,128,76,528,0.013383861357365419,0.004195835815404602,,,,,,,,
2,8,77,36,0.01987918895941109,-0.001670687684349557,,,,,,,,
2,16,77,82,0.010006879717694843,-0.0027153749491176087,,,,,,,,
2,32,77,152,0.006572268747082699,-0.000528643761479821,,,,,,,,
2,64,77,332,0.012731092311108989,0.0028847621468198526,,,,,,,,
