n,cap,estimator,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
16,3,plugin,25,80,-0.0005816241230488148,0.00020973494330577656,0.0010398333861964585,3.9759103446390183e-05,-0.0005853461353471417,0.00015455207160508186,0.0006848786971180968,-0.0006814217172429116,-3.17647957688417e-05,0.00016651813654241306
16,3,multilevel,25,68,0.00740153241413218,0.011338015252116472,-0.003069098961949862,0.01760008588955017,-0.009680716648846193,-0.00837747425020476,-0.003247229374637886,-0.00046560218472262047,0.0011367368344829551,0.0032457228456029196
16,3,plugin,26,80,-0.0020534957245191623,-8.312199840121289e-05,0.0017114232793504103,-0.0005780822195073516,-0.0007173450653116088,-0.00011379086978882414,0.0002770551106754899,-4.091695878704478e-05,2.621686573359005e-05,-7.32356965656374e-05
16,3,multilevel,26,90,0.027601022857821268,0.0017110290150747142,-0.01999684883610116,0.028946003662265525,0.013622107389897532,-0.0029306636402750322,-0.00804689120798724,-0.013175942347510915,-8.906816018509173e-05,0.004441932774395177
16,3,plugin,27,80,0.001630962457604038,0.0002834966584832844,0.0008604482121647751,-0.0006542942411436108,-0.0006613955922102137,0.0005962340294480041,0.00030889524499190166,-0.00016381223316875828,2.114089424483345e-05,0.00023901164928890632
16,3,multilevel,27,72,0.004008116476400396,0.0035382714866961837,0.00821307388837825,-0.0015389101596215938,-0.01375166368760353,-0.0016034004838887507,0.007400475654644818,-7.874455186576817e-06,1.9417572214556795e-05,0.0011400830239587144
16,3,plugin,28,80,0.0016550939941097072,5.479400861435789e-05,-0.000502106426318577,-0.0007574570271035249,-0.00029803495516931287,-0.00016299817452995996,0.000700975574698562,0.0001465120951843832,1.67232939165722e-05,0.00013554012506768743
16,3,multilevel,28,66,0.00972533680130188,0.005767003225258017,-0.002552043024491726,0.006995623602069369,-0.021416176279753462,-0.02278720750025487,0.01434129664246325,-0.019157780569692584,0.00039753643953962105,-6.412514848780273e-05
16,3,plugin,29,80,0.0023003140786231574,-0.0011615004019041317,0.0014071015334628117,-0.0006892698313242749,-0.00013850966106571924,-0.00014918665318948085,-0.00029377515448681903,0.00048724079122874344,7.148377153832596e-06,-0.00024411023036292063
16,3,multilevel,29,96,0.0036518853977159154,0.013822374086128181,-0.018511579765807844,0.027601032707268894,0.03255115690327484,0.013749180489274296,-0.026234457310690643,0.03002964743916749,0.0011788650556696285,0.004856778218908352
16,3,plugin,30,80,-0.0028178441225721797,0.0003302527429830294,0.0015202689222656744,-0.0012386354651065079,-0.0012498497237105307,0.00025081651599681814,0.0012896567685117021,-0.0013699670618621087,2.8198321855836508e-05,0.0002338970116885932
16,3,multilevel,30,100,0.01327616547795764,-0.0049900917572926005,0.000749555317621903,-0.01342874538248024,-0.018932677087936507,-0.007186181814975288,0.0004743254301323395,-0.012136712211316614,6.000594072898111e-06,0.002597394812436779
16,3,plugin,31,80,0.0010575787696174444,-4.679965069870003e-06,0.0013375107260524747,-0.002084077755569809,-0.0015300638319970087,-7.727886762293168e-05,0.0012491632319690201,-0.0009319403152793376,1.8535255214454345e-05,0.0004664679269335205
16,3,multilevel,31,84,-0.06577462303901598,0.0008944970418602956,-0.003682392901157679,-0.0193283226230378,-0.005156951360995723,-0.004822208037969253,0.011702990112980661,-0.0008897830448416407,-0.0007283653519568004,0.0025783423830313306
16,3,plugin,32,80,-0.0012585002905067652,-0.0001991848121976378,0.0010506532396178984,0.0007069070684084407,0.0004637649888092718,0.00047433830135343394,-0.0008565314258558268,0.0017992473370763015,-3.511934269537869e-05,-0.00020179969671152683
