eta_gain,eta_loss,reference_gap
0.22,0.18,0.09672000000000014
0.22,0.2,0.09984000000000015
0.22,0.22,0.10296000000000016
0.22,0.24,0.10608000000000017
0.22,0.26,0.10920000000000019
0.22,0.28,0.1123200000000002
0.22,0.3,0.11543999999999999
0.22,0.32,0.11856
0.22,0.34,0.12168000000000001
0.22,0.36,0.12480000000000002
0.22,0.38,0.12792000000000003
0.22,0.4,0.13104000000000005
0.22,0.42,0.13416000000000006
0.22,0.44,0.13728000000000007
0.22,0.46,0.14040000000000008
0.22,0.48,0.1435200000000001
0.22,0.5,0.1466400000000001
0.22,0.52,0.14976000000000012
0.22,0.54,0.15288000000000013
0.22,0.56,0.15600000000000003
0.22,0.58,0.15912000000000004
0.22,0.6,0.16224000000000005
0.22,0.62,0.16536000000000006
0.22,0.64,0.16848000000000007
0.22,0.66,0.17160000000000009
0.22,0.68,0.1747200000000001
0.22,0.7000000000000001,0.1778400000000001
0.22,0.72,0.18096
0.22,0.74,0.18408000000000002
0.22,0.76,0.18720000000000003
0.22,0.78,0.19032000000000004
0.22,0.8,0.19344000000000006
0.24,0.0,0.07295999999999991
0.24,0.02,0.07600000000000007
0.24,0.04,0.07904
0.24,0.06,0.08207999999999993
0.24,0.08,0.08512000000000008
0.24,0.1,0.08816000000000002
0.24,0.12,0.09119999999999995
0.24,0.14,0.09423999999999988
0.24,0.16,0.09728000000000003
0.24,0.18,0.10031999999999996
0.24,0.2,0.1033599999999999
0.24,0.22,0.10640000000000005
0.24,0.24,0.10943999999999998
0.24,0.26,0.11247999999999991
0.24,0.28,0.11552000000000007
0.24,0.3,0.11856
0.24,0.32,0.12159999999999993
0.24,0.34,0.12463999999999997
0.24,0.36,0.1276799999999999
0.24,0.38,0.13071999999999995
0.24,0.4,0.13375999999999988
0.24,0.42,0.13679999999999992
0.24,0.44,0.13983999999999996
0.24,0.46,0.1428799999999999
0.24,0.48,0.14591999999999994
0.24,0.5,0.14895999999999998
0.24,0.52,0.1519999999999999
0.24,0.54,0.15503999999999996
0.24,0.56,0.15808
0.24,0.58,0.16111999999999993
0.24,0.6,0.16415999999999997
0.24,0.62,0.16720000000000002
0.24,0.64,0.17023999999999995
0.24,0.66,0.17328
0.24,0.68,0.17632000000000003
0.24,0.7000000000000001,0.17935999999999996
0.24,0.72,0.1823999999999999
0.24,0.74,0.18543999999999994
0.24,0.76,0.18847999999999987
0.24,0.78,0.1915199999999999
0.24,0.8,0.19455999999999996
0.26,0.0,0.07695999999999992
0.26,0.02,0.07991999999999999
0.26,0.04,0.08288000000000006
0.26,0.06,0.08583999999999992
0.26,0.08,0.08879999999999999
0.26,0.1,0.09176000000000006
0.26,0.12,0.09471999999999992
0.26,0.14,0.09767999999999999
0.26,0.16,0.10064000000000006
0.26,0.18,0.10359999999999991
0.26,0.2,0.10655999999999999
0.26,0.22,0.10952000000000006
0.26,0.24,0.11247999999999991
0.26,0.26,0.11543999999999999
0.26,0.28,0.11840000000000006
0.26,0.3,0.12135999999999991
0.26,0.32,0.12431999999999999
0.26,0.34,0.12727999999999984
0.26,0.36,0.1302399999999999
0.26,0.38,0.13319999999999999
0.26,0.4,0.13615999999999995
0.26,0.42,0.1391199999999999
0.26,0.44,0.14207999999999998
0.26,0.46,0.14503999999999995
0.26,0.48,0.1479999999999999
0.26,0.5,0.15095999999999998
0.26,0.52,0.15391999999999995
0.26,0.54,0.1568799999999999
0.26,0.56,0.15983999999999998
0.26,0.58,0.16279999999999994
0.26,0.6,0.1657599999999999
0.26,0.62,0.16871999999999998
0.26,0.64,0.17167999999999994
0.26,0.66,0.17464000000000002
0.26,0.68,0.17759999999999998
0.26,0.7000000000000001,0.18055999999999994
0.26,0.72,0.1835199999999999
0.26,0.74,0.18647999999999987
0.26,0.76,0.18943999999999994
0.26,0.78,0.1923999999999999
0.26,0.8,0.19535999999999987
0.28,0.0,0.08064000000000004
0.28,0.02,0.08352000000000004
0.28,0.04,0.08640000000000003
0.28,0.06,0.08928000000000003
0.28,0.08,0.09216000000000002
0.28,0.1,0.09504000000000001
0.28,0.12,0.09792000000000001
0.28,0.14,0.10080000000000022
0.28,0.16,0.10368000000000022
0.28,0.18,0.10656000000000021
0.28,0.2,0.1094400000000002
0.28,0.22,0.1123200000000002
0.28,0.24,0.11520000000000019
0.28,0.26,0.11808000000000018
0.28,0.28,0.12096000000000018
0.28,0.3,0.12384000000000017
0.28,0.32,0.12671999999999994
0.28,0.34,0.12960000000000016
0.28,0.36,0.13248000000000015
0.28,0.38,0.13536000000000015
0.28,0.4,0.13824000000000003
0.28,0.42,0.14112000000000013
0.28,0.44,0.14400000000000013
0.28,0.46,0.14688000000000012
0.28,0.48,0.14976000000000012
0.28,0.5,0.1526400000000001
0.28,0.52,0.1555200000000001
0.28,0.54,0.1584000000000001
0.28,0.56,0.1612800000000001
0.28,0.58,0.16416000000000008
0.28,0.6,0.16704000000000008
0.28,0.62,0.16992000000000007
0.28,0.64,0.17280000000000006
0.28,0.66,0.17568000000000006
0.28,0.68,0.17856000000000005
0.28,0.7000000000000001,0.18144000000000005
0.28,0.72,0.18432000000000004
0.28,0.74,0.18720000000000003
0.28,0.76,0.19008000000000003
0.28,0.78,0.19296000000000002
0.28,0.8,0.19584000000000001
0.3,0.0,0.08399999999999985
0.3,0.02,0.08679999999999999
0.3,0.04,0.0895999999999999
0.3,0.06,0.09239999999999982
0.3,0.08,0.09519999999999995
0.3,0.1,0.09799999999999986
0.3,0.12,0.1008
0.3,0.14,0.10359999999999991
0.3,0.16,0.10640000000000005
0.3,0.18,0.10919999999999996
