Z_db,raw_trajectory_cost
0.0021861142142444025,3
0.0025144138801736987,3
0.048927582500805214,5
0.26053207589714655,5
0.10890749702698672,3
0.02084251895328279,9
0.01523332326995931,3
0.47079271224157132,3
0.2121981500852558,3
-0.00093378865179310187,3
1.1222123492801577,3
0.075234445470685876,3
0.035597401052804158,9
0.019988440686054338,3
0.073422828650183222,9
0.019621244494353405,5
-0.030276416812476035,3
0.0021569255451334584,3
-0.42706293521878019,9
0.041191873376836448,3
-0.018424546385496739,3
0.052230310033359741,3
0.00099854971834809764,3
0.024248537960523269,3
-0.050468290245337534,3
0.018619322988836114,5
0.022479163728061018,3
0.10159982385339382,3
0.046551146010994575,3
0.16724216051613142,3
0.084505504448411456,3
0.093270876331123659,9
0.5367938573367661,3
-0.023716771651196299,5
0.012244990013684544,3
1.9246857797034482,3
0.0057125909830885906,3
0.019469634188456385,3
-0.045464896764315116,17
0.023251873429245853,9
0.016912581772077554,3
0.00033213558896191678,3
0.01545498004741465,3
0.070246951938921026,3
0.041956091346692474,3
0.027951007167014937,5
0.053117142673142236,3
-0.10168413268802284,3
-0.011496359976234093,5
0.29331708417756069,3
0.011958647959723824,3
0.048011949738871802,3
0.010457524699817448,3
0.1177995898735589,5
0.0002980112484864211,3
0.00021318570838078395,3
0.035562298889730642,3
0.0066073599464614701,3
0.0053599117481124402,3
-0.043262850729788305,17
0.097368523938463653,3
0.019865638216066222,3
0.0047412202302909955,3
-0.064301024817523061,3
0.0076824045526596848,3
0.11857993415407361,3
0.033099731876021561,3
0.09117348575260717,5
0.0077243786687492015,3
0.074977295278748968,3
0.00024761285940965122,3
0.01929273346805763,5
-0.93619158647625,17
0.17552253379677202,5
-0.06158102404065751,3
0.41950979116925091,3
0.027544941132605891,3
-0.014869072508022553,5
0.11998820477743266,5
0.044888050655268477,3
0.034011172876790195,3
0.060917816307072083,3
-0.056313587975574994,3
0.040565809532124388,5
0.06997709180807675,3
-0.008798947086057534,5
0.050056233389067464,3
0.07421193763799086,3
0.029262935393264893,3
-0.31706148306988935,5
-0.042770249307477422,5
0.14647711927400289,3
0.023491947308694496,3
-0.009117170746684845,3
0.0836905543459876,3
-0.034490259033120738,5
0.11437683455415788,3
0.020819000833339374,3
0.090896849368958949,3
-0.013268486388008788,5
0.026894023040069884,3
