level,n,T_fine,Delta
1,4,0.17535618650953813,-0.011260861957532203
1,4,0.052710041574818595,0.04970811626732306
1,4,0.034951150124898016,0.0005237805286850625
1,4,0.19985558435095202,-0.11244717481987365
1,4,0.08657797799167521,-0.04106786213193331
1,4,-0.001672583140042136,0.002659818839455933
1,4,0.2225055599467005,-0.02568983220521545
1,4,0.05717712756981859,0.03894007591144717
1,4,0.0011753153072138621,0.0013442223112469878
1,4,0.00628046710174495,-0.006430895116411793
1,4,0.4056208505867625,-0.03780651166430726
1,4,0.07025181049021607,-0.02830209257507585
1,4,0.04494009028762331,-0.007375762453177261
1,4,-0.015329869344773657,0.0010197835959059529
1,4,0.006233007835757995,0.0020370929573521645
1,4,0.029322555858661975,0.0019044251283510047
1,4,0.03380236497717341,0.002589858393796031
1,4,-0.004032389588631817,0.007390151941343439
1,4,-0.001210202365124798,0.0002418697198083139
1,4,0.021248150940843747,0.006436241704410921
1,4,0.031865531909074554,0.0236632934404612
1,4,0.01581184354714942,0.010114415394856989
1,4,0.22727252127388256,-0.0021208693490785413
1,4,0.0018255564419679602,-0.0009882534934446314
1,4,0.014338001340758024,0.005293886871835489
1,4,0.040768362832555055,0.026538418270597233
1,4,0.18225042473566178,-0.01838107238360681
1,4,0.04191276326914472,0.00693945646607963
1,4,-0.0033433478203664727,-0.0016011985022108262
1,4,-0.052167395807936244,0.010480967841860943
1,4,0.047482272834608825,0.003417784067988573
1,4,0.042957823595817124,0.01299550087219608
1,4,0.028315885366747087,0.048287859925984944
1,4,0.029128634875285532,0.02115556572319889
1,4,-0.0001333705666672606,8.905450298677504e-05
1,4,-0.032731115913318024,0.0056466621564959935
1,4,1.0301616522946655,-0.07782535535357482
1,4,0.04199570503516494,-0.030755690594430056
1,4,0.04339680970184762,0.015969534978808382
1,4,0.05903364797291507,0.027494258387461494
1,4,0.014386597296075705,0.00987641275671557
1,4,0.019638475293341912,0.004892514166663267
1,4,0.05318323095467608,0.0007978311260020896
1,4,0.449680402330901,-0.22445068280639713
1,4,-0.007226321561922285,0.005039992412259339
1,4,0.004118460784864902,0.004975782222485629
1,4,-6.929516143666949e-05,0.0021610052331648495
1,4,0.32238837307700646,-0.012374302649907298
1,4,0.046633934231439404,-0.009105112586947135
1,4,0.02317749723694436,0.003966883302122352
1,4,0.008049783087043441,-0.0011135944013306778
1,4,0.049966050949177734,-0.016428362915144643
1,4,0.04124343344668737,0.007258784977268597
1,4,0.014300789127944273,-0.017015965071657924
1,4,0.18052575195286244,-0.11569764411999248
1,4,-0.006659192363144918,0.0052753599734192205
1,4,0.002415918888171818,0.008966504085608517
1,4,0.037043133334226694,-0.010229070532569821
1,4,0.031147543770864743,-0.0067437662208558145
1,4,0.01760200036907167,-0.004448542107603523
1,4,0.02798600326360196,0.015441528742863095
1,4,0.004259741048028124,0.006524639719593074
1,4,0.012174897417366786,0.004646678924867418
1,4,0.016585188563018355,-0.000825421277594475
1,4,-0.00018573791144053958,0.004874924076302976
1,4,0.12840423610458943,-0.03750633543672996
1,4,0.03869415628236005,0.0035163732450788562
1,4,0.00534536318072116,-0.0057382177107608645
1,4,0.04306797074438199,0.005378296256193307
1,4,0.08561638261552697,-0.04030001975492202
1,4,0.024972015547277796,0.012493026821353642
1,4,0.007863278769891204,0.002020606186008268
1,4,0.09046375096263329,-0.022202173504425687
1,4,-0.0010654146865003277,-0.0026815481804750756
1,4,0.04154821284124741,0.003793296345987192
1,4,0.03623299383743069,-0.01775370796650865
1,4,0.4862206726791845,-0.019562589499579397
1,4,0.029123623734762263,0.007798867138219343
1,4,0.026802890465155257,0.017080194795211674
1,4,0.05709690271094015,-0.020872242027802045
1,4,0.0078077594560985895,0.0033632650914014375
1,4,-0.0020932859804377608,0.01000780978602745
1,4,0.046279333546516484,0.04340632895605369
1,4,0.017116324667971063,0.013830868920984573
1,4,0.10837415911195111,-0.04763161083050954
1,4,0.0451582376509411,0.027688678707935312
1,4,0.020974715135300304,0.003883892057851439
1,4,0.04397842783264637,0.026257135994765087
1,4,0.5512776234083853,-0.03699059715256647
1,4,-0.0023197292557762816,0.0034505584410309785
1,4,0.025655102917323508,0.010385049054554693
1,4,0.02462822135107494,0.0201601599886405
1,4,1.3133677139147486,-0.017193979850355312
1,4,0.2658063363690753,-0.013358574000301493
1,4,0.015712779188838996,-0.0051970840974985485
1,4,0.011766551518445448,0.012992886585952535
1,4,0.014648564339021007,0.0011785609214511206
1,4,0.3955075311251093,-0.038999706038237436
1,4,0.035800208025883136,-0.006297020816715612
1,4,-0.003587406668941627,-0.011680280993617115
1,4,0.016057440929723322,0.0038505833591419222
1,4,0.04997141978824339,0.01652673135054987
1,4,-0.00038041801946820774,0.0007510589035456598
1,4,0.03805877459576525,-0.0004413010298684114
1,4,0.004357234579849402,-0.0001329339553373301
1,4,0.03285538365717082,0.00014275851436398868
1,4,0.02105483013985363,-0.008024147711732283
1,4,0.028463242320838647,0.004474035008750495
1,4,0.019357785654471268,0.01831509515238804
1,4,0.07855019502242765,-0.006122907200592748
1,4,0.03617169656925205,0.02263998331132877
