day,regime,estimator,budget,cost,cost_std,seconds,mse,mse_se,variance_trace,bias_norm,bias_coordinate,bias_se,reference_variance_trace,reference_gradient_norm
150,oscillation_reversal,multilevel_outer,512,509.728,53.470104920791776,0.012498930199362802,8.469210198633689e-05,2.9873227855224878e-06,8.47204736360254e-05,0.00037559192960385433,0.00022767411629471645,0.000254751294098146,2.3510060190876528e-08,0.0029595376559234782
150,oscillation_reversal,split_base,512,506.368,37.25953733266812,0.012627194000058807,0.00012450317522212501,4.570510171611552e-06,0.00012458609380426648,0.00040774208204096826,-0.0001026249894509392,0.0002962048291290238,2.3510060190876528e-08,0.0029595376559234782
150,oscillation_reversal,plugin,2048,2048.0,0.0,0.03470611419982743,3.172423659536204e-06,1.1948173683842517e-07,3.152645024500797e-06,0.00016150518593657963,7.711540888425078e-05,8.783208506037925e-05,2.3510060190876528e-08,0.0029595376559234782
150,oscillation_reversal,multilevel,2048,2033.36,132.75574026439043,0.03725135880039306,0.00013652492015831907,4.292437010502827e-06,0.00013665241131840047,0.0003818555519504139,8.986346131400558e-05,0.0003152809276878048,2.3510060190876528e-08,0.0029595376559234782
150,oscillation_reversal,multilevel_outer,2048,2045.6,114.57839419730784,0.03998366840038216,2.0847505812082376e-05,6.149677122604898e-07,2.0768776070268513e-05,0.0003467957525033982,2.153326786778092e-05,0.00013921836993651863,2.3510060190876528e-08,0.0029595376559234782
150,oscillation_reversal,split_base,2048,2023.744,74.21097629060009,0.04080909900122788,3.462121819944751e-05,1.1528053178497504e-06,3.464881671774271e-05,0.0002042036119668189,7.839916353630596e-05,0.00018114426828665285,2.3510060190876528e-08,0.0029595376559234782
290,negative_shock,plugin,512,512.0,0.0,0.009372328199620824,0.00047435053219572034,1.560121162820559e-05,0.0004721052893426455,0.0017859040936623206,0.0008797103628079171,0.0009692394292441274,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,multilevel,512,498.624,63.48208072477061,0.010566866399953141,0.019649691386228983,0.0007866826969547346,0.019670128714739814,0.004347749868454892,0.002428969594799111,0.003922920320983094,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,multilevel_outer,512,510.784,54.062619967547924,0.012463612000748981,0.0030056906123417555,9.295943324949257e-05,0.0030098858612219027,0.0013507489930759944,-0.0004919051093611851,0.0016350914705729371,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,split_base,512,504.32,35.588744252008524,0.012645938799483702,0.004984658414801474,0.00017107715386153628,0.004984324332544112,0.00320978674096097,0.0029404091512889937,0.0020846176138324076,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,plugin,2048,2048.0,0.0,0.03531748980068369,0.00010974150712370137,3.913690017114344e-06,0.0001083377951494211,0.0012729444467764947,0.00035958216318445705,0.0008378510491207174,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,multilevel,2048,2036.784,126.90081551336033,0.037263561400061006,0.004903748995793638,0.00015181366384437782,0.004897511606341244,0.004004049533294429,0.0035107137197860293,0.002031327317797272,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,multilevel_outer,2048,2051.744,110.3819496730659,0.03990401780145476,0.0007968232878002677,2.273259438166224e-05,0.00079379796160388,0.002147771430947753,-0.0002381322546655758,0.0010770153092935287,2.0041657816126717e-06,0.0023385470470345844
290,negative_shock,split_base,2048,2034.56,79.16259111261661,0.04070602159935515,0.001250083330330237,3.694854713096215e-05,0.0012491156361930061,0.0018616996024107735,0.0005387474890122088,0.0012414859711484128,2.0041657816126717e-06,0.0023385470470345844
350,style_switch_lowvol_quality,plugin,512,512.0,0.0,0.0097264750006143,7.768784894049517e-06,3.3793733449446346e-07,7.766488472283623e-06,0.0001335267715121555,0.00010687015309886888,0.00011669082796703739,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,multilevel,512,501.76,65.61861019564508,0.011159874999546446,0.00041330045336128354,1.6813931312310165e-05,0.00041375186133424017,0.00061326645898183,-0.0002497796767046281,0.0005663252765280743,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,multilevel_outer,512,509.824,55.83486445023712,0.012750972199253738,6.28981925443981e-05,2.273591223968157e-06,6.280079828351773e-05,0.00047222437193287267,8.44447238219964e-05,0.0002298158765762385,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,split_base,512,506.24,38.326181552364034,0.012746683201461564,9.402514945765256e-05,3.0838135998918354e-06,9.39044053944274e-05,0.0005554753586019594,-0.00016505589676361361,0.0002678275994922237,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,plugin,2048,2048.0,0.0,0.03566278279968537,2.1704846191926733e-06,8.07419893559515e-08,2.149838858684964e-06,0.00015794124928301416,-2.7349754922130964e-05,9.762625262165454e-05,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,multilevel,2048,2048.816,124.58832467486904,0.03917573880054988,9.586812402424221e-05,3.0739337974084664e-06,9.562232909541699e-05,0.0006610896966494232,-0.00047567043919418274,0.00026949282110657154,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,multilevel_outer,2048,2037.344,112.92199261806208,0.041461672199715395,1.578950685208058e-05,5.29650493022229e-07,1.5785065329794406e-05,0.00018976736533388896,1.2194384560104449e-05,0.00014264202605442113,2.0635282845934223e-08,0.002675348446894951
350,style_switch_lowvol_quality,split_base,2048,2021.824,72.45813540778943,0.042151643599849194,2.3753942092079506e-05,7.887179272802192e-07,2.372980558178617e-05,0.00026757451570900184,0.00018675284134497935,0.00015653898448086067,2.0635282845934223e-08,0.002675348446894951
