day,regime,estimator,budget,cost,cost_std,seconds,mse,mse_se,variance_trace,bias_norm,bias_coordinate,bias_se,reference_variance_trace,reference_gradient_norm
150,oscillation_reversal,multilevel_outer,128,119.53333333333333,15.484783856206915,0.00960943500152401,0.002950763356183542,0.0005363200530889804,0.00296218709028805,0.006160036585413006,0.004890143638141694,0.003896074305702264,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,split_base,128,125.93333333333334,16.277119916261647,0.010575894999783486,0.002933054149346466,0.000503022656678539,0.0029191399318103804,0.007909902005266891,-0.0007113229594790738,0.00478769457087827,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,plugin,512,512.0,0.0,0.01060978166788118,1.2977481378398217e-05,1.3171677655852211e-06,1.2772836216770376e-05,0.0006461623366002388,5.7061539384740175e-05,0.00037995722024628393,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel,512,510.03333333333336,52.83359443162061,0.016805519998888484,0.002033115039257661,0.0002766077810869144,0.0020171375894145237,0.007042471843515839,0.004803889065596419,0.0034520612632622277,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel_outer,512,513.7666666666667,28.707978378821277,0.019426824997450846,0.0006719777618802887,8.037310031424512e-05,0.0006763048959045259,0.002635263599877284,7.338580728658895e-05,0.0022603801064815785,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,split_base,512,507.6,33.21180104742228,0.020277193332731258,0.000688291989017655,6.274718932123097e-05,0.0006955554428041174,0.0020806578111115595,-0.0004502825934872936,0.00189691812959424,2.1430144281830704e-07,0.003190612981718594
290,negative_shock,plugin,128,128.0,0.0,0.0035831249983554396,0.003954813679052673,0.0005626551133819923,0.00394394194327734,0.008752376905539533,-0.005571861766911873,0.00578376489748137,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel,128,129.96666666666667,30.92580879649737,0.009013361663285953,0.15170116873200218,0.025519518538723345,0.1509303368104597,0.057326586633517286,-0.04164580181372008,0.03338454984663371,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel_outer,128,117.43333333333334,13.434545234198199,0.009489891665968269,0.037333598199884674,0.0049064063999757655,0.037511114703589726,0.02115818379149748,0.0008431745558383325,0.015836497223451224,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,split_base,128,125.73333333333333,18.88938960231438,0.01030969333369285,0.05688023767385746,0.009931459929109989,0.057190099394950504,0.02536348955006249,-0.01798987575061178,0.020677938418391228,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,plugin,512,512.0,0.0,0.01071675000275718,0.0004126477132561068,3.9089942636528856e-05,0.0003895226257076886,0.005442162374480654,0.003540320524468208,0.002731010273039813,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel,512,504.2,52.84733368833381,0.016269006667425857,0.03617064314138456,0.004097114204450708,0.03606317808490391,0.026618001888991973,0.01931130959531864,0.013178079414431075,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel_outer,512,513.3333333333334,33.48800274252879,0.019432425000801837,0.010678737987486532,0.0013059601539292015,0.010618445219337146,0.015403468931975655,0.012767959066691028,0.0076135643136987655,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,split_base,512,505.0,31.784230180005824,0.0195240716682747,0.010558883508388312,0.0009042370369311863,0.010470942482531118,0.016200516470143228,0.01114086340211537,0.0073495376363639595,1.6529977865808272e-05,0.0038865572495554793
350,style_switch_lowvol_quality,plugin,128,128.0,0.0,0.003595201667242994,5.385169931742105e-05,5.879324490963274e-06,5.4615006781556014e-05,0.00038333099129989994,-6.583201716096312e-05,0.0007090163743390931,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel,128,118.8,25.09156114469496,0.008102364999649581,0.007056589709656808,0.0009780390938997183,0.007094383600824347,0.008969160245690036,-0.0023246719427147504,0.006809426038845479,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel_outer,128,115.53333333333333,11.547201094089626,0.009258034998977867,0.0022107700650925337,0.0005134841540569647,0.002239931889206546,0.0028583866147582973,-0.0021004484215726925,0.003542492911602742,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,split_base,128,124.13333333333334,12.68051577129214,0.010454441667146359,0.001694815813175942,0.00024913319371960396,0.0017130439003922046,0.0032128872462226597,0.001196394961926746,0.003089474132244372,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,plugin,512,512.0,0.0,0.010519768332596869,7.70136662763764e-06,7.326722689437142e-07,7.281266327866145e-06,0.0007358360813178893,-0.00012698794506813677,0.000417514991004518,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel,512,502.6333333333333,55.39686299221763,0.016392526666944227,0.0019316629057818783,0.00024868629268478664,0.0019327079225318644,0.005582721733964357,-0.002879125506981997,0.0033012339919472377,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel_outer,512,506.1666666666667,29.77723317938067,0.018681008333805947,0.0005199066016085884,4.3850505056824395e-05,0.0005040048059321728,0.0049296932739558074,0.004759458698969493,0.001684475194030836,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,split_base,512,501.6666666666667,32.80588344642718,0.01943508499971358,0.0005731920355292869,6.249048464153383e-05,0.0005697685830723133,0.003594383884364453,-0.0019021608306544675,0.0018973271824591622,2.548821176743183e-07,0.002341755057594205
