user_id,PGR,PLR,disposition,transnum,stknum,num_posts,lag_pos,lag_neg,lag_neu,lag_num_posts,guanzhu,fans,status_count,stocks_count,following_count,e6_pgr,e6_plr,e6_disposition,e6_reduce_rate,e6_opportunity_count,gain_opportunities,loss_opportunities,sentiment_balance,activity_rank,diversification_rank,reference_rank,base_adoption,loss_aversion,cluster,agent_type,type_prevalence
020324,0.3828282828282828,0.35353535353535354,0.02929292929292929,6.454545454545454,4.212121212121212,5471.909090909091,100.59375,61.78125,18.375,5528.8125,70,14,337,253,0,0.5114656322989656,0.4189582347477084,0.0925073975512572,0.4414330238099639,138,70.0,68.0,0.21354883081155435,0.9640907785119218,0.8632576845733985,0.1775351910370583,0.4414330238099639,1.3700295902050288,3,Active diversified investors,0.19419706980752657
020356,0.8,0.1476190476190476,0.6523809523809524,0.9714285714285714,1.0666666666666667,14629.314285714287,504.61764705882354,23.823529411764707,5.823529411764706,15051.088235294117,21,1,5,61,0,0.8685265454133378,0.2921812449676227,0.5763453004457151,0.5222417600195476,81,33.0,48.0,0.8982361668223527,0.4692617064062051,0.12410226946279805,0.9939672507900029,0.5222417600195476,3.3053812017828603,2,Disposition-effect investors,0.28669922436081585
020418,0.6666666666666667,0.32083333333333336,0.3458333333333333,0.625,2.2,321.375,10.025641025641026,1.2307692307692308,1.1025641025641026,327.56410256410254,6,1,15,162,0,0.8914892164892164,0.7145724271230345,0.17691678936618194,0.8614380778645176,54,35.0,19.0,0.6583493282149713,0.3534903763286412,0.5280091927607009,0.40792875610456764,0.8614380778645176,1.7076671574647277,0,Moderate-frequency focused investors,0.4941108876759552
020427,0.3550724637681159,0.20144927536231882,0.15362318840579708,0.8695652173913043,4.231884057971015,595.8695652173913,19.0,2.8181818181818183,0.9545454545454546,606.8636363636364,11,0,2,13,0,0.7950560854972619,0.47904304921848784,0.3160130362787741,0.5845061435584457,48,14.0,34.0,0.6806883365200764,0.44297615627693193,0.8649813272048262,0.8098247629991382,0.5845061435584457,2.2640521451150963,2,Disposition-effect investors,0.28669922436081585
020547,0.6025641025641025,0.17948717948717946,0.4230769230769231,1.3076923076923077,2.2564102564102564,1228.5384615384614,24.333333333333332,14.0,7.916666666666667,1280.3333333333333,13,1,19,43,0,0.8494517244517243,0.48292769345400927,0.3665240309977151,0.6549283552394861,30,13.0,17.0,0.21869488536155204,0.5781384659580581,0.5468256248204539,0.8790577420281528,0.6549283552394861,2.4660961239908605,2,Disposition-effect investors,0.28669922436081585
020608,0.3717948717948718,0.5170940170940171,-0.14529914529914528,2.128205128205128,1.4102564102564104,9950.897435897436,200.6578947368421,102.52631578947368,33.6578947368421,9990.394736842105,129,821,501,98,0,0.8379513234164396,0.7474677818807373,0.09048354153570237,0.8232855701596574,55,23.0,32.0,0.29046580464246774,0.7434645216891698,0.2516518241884516,0.17293881068658432,0.8232855701596574,1.3619341661428095,0,Moderate-frequency focused investors,0.4941108876759552
020632,0.607843137254902,0.21323529411764705,0.3946078431372549,1.088235294117647,1.6715686274509804,13721.264705882353,316.74626865671644,113.44776119402985,33.865671641791046,13827.58208955224,107,28,35,504,0,0.8049644472058266,0.407594598384072,0.3973698488217546,0.5983639855611245,135,67.0,68.0,0.4371449661414038,0.5189600689457052,0.35449583453030736,0.9120942257971847,0.5983639855611245,2.589479395287018,2,Disposition-effect investors,0.28669922436081585
020712,0.525,0.475,0.05,2.625,0.9583333333333334,147.075,3.6923076923076925,0.8717948717948718,0.358974358974359,147.53846153846155,4,4,114,4,0,0.8579025454025453,0.7284957233609352,0.12940682204161014,0.8372447263805446,43,22.0,21.0,0.4761904761904763,0.8069520252800919,0.04050560183855214,0.26141913243320886,0.8372447263805446,1.5176272881664405,0,Moderate-frequency focused investors,0.4941108876759552
020747,1.0,0.0,1.0,0.0,4.0,1367.0,,,,,9,0,0,11,0,0.7612762762762761,0.5175392694189688,0.24373700685730737,0.6440929908451657,6,5.0,1.0,,0.06391841424877909,0.8451594369434071,0.645216891697788,0.6440929908451657,1.9749480274292295,1,Low-frequency diversified investors,0.024992818155702385
020753,0.7372881355932204,0.14413505515200428,0.5931530804412161,2.864406779661017,4.5141242937853105,14841.983050847457,332.7931034482759,147.43103448275863,36.08620689655172,14867.155172413793,29,4,99,255,0,0.7116691433701744,0.42198029009174515,0.28968885327842925,0.5663359121109525,142,77.0,65.0,0.358318890814558,0.8296466532605573,0.8876759551852916,0.7575409365124964,0.5663359121109525,2.1587554131137168,2,Disposition-effect investors,0.28669922436081585
