online_dlr,frozen_dlr,delta_track,online_residual,frozen_residual,delta_residual,episodes,panel,key1,key2,seed,dlr_ratio
3.0591056264437864,3.432772648207434,0.1088528312408844,3.9435550120086065,3.0869129179234363,-0.27750769680326215,50,horizon,30.0,,2000,0.8911471687591156
1.3632048763406515,4.804262994857817,0.7162509883826633,-0.9710730144465557,2.5253154561757323,1.384535330852139,50,horizon,30.0,,2001,0.2837490116173367
3.0973820736907425,3.4292291601383535,0.09677016931531712,3.8993585529647308,3.479361687711227,-0.12071089554641379,50,horizon,30.0,,2002,0.9032298306846829
2.7448359957707473,4.225039209932635,0.35034070469265255,5.308515714933935,5.739489983274506,0.07508929706236556,50,horizon,30.0,,2003,0.6496592953073475
2.3731586508964906,2.84373938423195,0.1654795569329417,3.1009064043273566,3.166424435954137,0.02069148749701266,43,horizon,35.0,,2000,0.8345204430670583
1.4937197330349032,3.0991221808457095,0.5180184433298829,0.47022958928119735,1.5818409279861367,0.7027326952022583,43,horizon,35.0,,2001,0.4819815566701171
0.5633910147558989,4.152612510654758,0.8643285369606838,0.9226950375091779,5.068490762652306,0.8179546770987232,43,horizon,35.0,,2002,0.13567146303931618
2.5962779128315567,4.9799551934114294,0.4786543629415624,2.9835510867078336,5.819567967045864,0.4873242990540503,43,horizon,35.0,,2003,0.5213456370584376
1.4121942587309855,3.3887920829898706,0.5832750360166589,1.4906418804764359,2.3613345354515065,0.3687290563463457,38,horizon,40.0,,2000,0.41672496398334113
1.1819842497123993,2.2922987033263444,0.48436726505266203,-0.21582724276032617,1.8873148413093066,1.114356777171634,38,horizon,40.0,,2001,0.515632734947338
0.9587905412768768,3.3744076558234006,0.7158640451688641,2.372076240992098,2.309338934624059,-0.027166781552683705,38,horizon,40.0,,2002,0.28413595483113585
1.4394233955364424,2.247094302208725,0.35942902168298085,1.0174484610498382,2.3642089241622157,0.5696452836077579,38,horizon,40.0,,2003,0.6405709783170191
2.28895839563438,4.490177753131775,0.4902298925609583,4.26686028803257,4.696118425202128,0.09140700857668049,33,horizon,45.0,,2000,0.5097701074390417
2.857271799973858,2.691835714103248,-0.06145846308667591,3.9524748513420778,4.310341852241819,0.08302520151936754,33,horizon,45.0,,2001,1.061458463086676
1.1606563253055195,3.525721571332592,0.6708031811863027,1.3389464927651278,3.1557403133821023,0.5757108127410717,33,horizon,45.0,,2002,0.32919681881369733
2.012563378449319,2.3804578243117795,0.15454776896491473,1.4267278996615231,1.6724086151892057,0.14690232596050568,33,horizon,45.0,,2003,0.8454522310350853
2.3083534402714707,3.3687503114436,0.3147745523228524,0.7178022082395914,4.163321890624002,0.8275890677931688,30,horizon,50.0,,2000,0.6852254476771474
1.3150466673461207,3.614069524627009,0.6361313310701071,5.078563547534531,5.312030237881863,0.0439505574878701,30,horizon,50.0,,2001,0.36386866892989295
2.401873244870232,4.190862119516416,0.4268784855304702,1.5997848536772818,3.18668887476854,0.4979789629467734,30,horizon,50.0,,2002,0.5731215144695297
1.7123567122060932,0.8990340001773951,-0.9046629069292322,2.3525390805996587,1.4702753682170702,-0.6000669884393601,30,horizon,50.0,,2003,1.9046629069292322
14.511374804050162,18.68389181357607,0.2233216211674957,15.278994365619695,12.057951408496294,-0.2671301988208201,300,optimizer,0.01,0.005,2000,0.7766783788325042
15.61586031691286,22.57313455392085,0.3082103737249706,17.93058222638263,21.551695218234457,0.1680198682834043,300,optimizer,0.01,0.005,2001,0.6917896262750296
15.626923612660226,18.16633208081996,0.1397865269038454,20.6219100198832,16.8767750009557,-0.2219105853289755,300,optimizer,0.01,0.005,2002,0.8602134730961544
11.009561842147054,20.05365829731859,0.4509948419925376,10.56836891679977,28.04961331958892,0.6232258606781159,300,optimizer,0.01,0.005,2003,0.5490051580074624
13.720843007913176,14.478912501714229,0.0523567977713312,12.547496134920417,15.438906530847843,0.1872807760154657,300,optimizer,0.01,0.01,2000,0.9476432022286687
12.483083019886614,13.720811439702992,0.0902081065143746,9.804844308751685,2.6007501605406667,-2.7700062303229345,300,optimizer,0.01,0.01,2001,0.9097918934856254
12.085220903967722,20.0933900206757,0.3985474381608942,12.506717158927977,14.111824282294958,0.1137420004145594,300,optimizer,0.01,0.01,2002,0.6014525618391058
14.91179256495691,22.73407819647621,0.3440775369872599,7.706632372407866,31.52610531600292,0.7555475915860779,300,optimizer,0.01,0.01,2003,0.6559224630127402
15.628120937388315,17.948009135745544,0.129256018358989,21.29864615831012,19.22166203260543,-0.1080543462985421,300,optimizer,0.01,0.015,2000,0.870743981641011
14.61511099714116,23.660151534310284,0.3822900510190159,14.716391951290143,18.997415131228667,0.2253476670571469,300,optimizer,0.01,0.015,2001,0.6177099489809842
15.73508757679828,21.400406443244403,0.2647294985481236,10.8091889616263,29.648395551263903,0.6354207787420894,300,optimizer,0.01,0.015,2002,0.7352705014518764
19.68736162760249,18.867073986027197,-0.0434772049011307,17.031313712430787,22.232926265069857,0.2339598706271661,300,optimizer,0.01,0.015,2003,1.0434772049011303
13.559049781371884,21.317680455979325,0.363952855500808,11.513004932047751,17.673353714354686,0.3485670508197526,300,optimizer,0.01,0.02,2000,0.6360471444991921
16.941471805766646,16.023741951224114,-0.0572731299178481,19.393370054418607,13.859849894461814,-0.3992482026928665,300,optimizer,0.01,0.02,2001,1.0572731299178482
13.208546846544628,20.591245661359885,0.3585358038182762,8.468228211736026,23.932493106747746,0.6461618865211992,300,optimizer,0.01,0.02,2002,0.6414641961817239
13.51452890754728,22.053491431670203,0.3871932274569657,15.521551837859832,19.49915207474229,0.2039883694242652,300,optimizer,0.01,0.02,2003,0.6128067725430344
3.732174142825891,2.7653573248914123,-0.349617320420768,1.841189340753912,1.6381838894537075,-0.1239210400047954,300,optimizer,0.01,0.03,2000,1.349617320420768
3.425839290799973,3.5216945411839182,0.0272185021338394,3.496551983199915,3.92708517260594,0.10963174224213,300,optimizer,0.01,0.03,2001,0.9727814978661605
2.944211823175415,2.2048175557444685,-0.3353539459555357,2.647567747230463,1.3265743562523264,-0.9957929495260583,300,optimizer,0.01,0.03,2002,1.3353539459555357
3.307573734503616,4.246613372118621,0.2211267085862639,3.7120434058550775,3.2973502495166893,-0.1257655768898593,300,optimizer,0.01,0.03,2003,0.7788732914137362
4.532098502793826,8.082440174460997,0.4392660626039136,4.805309299328846,10.146231487766958,0.52639467125085,300,optimizer,0.01,0.04,2000,0.5607339373960863
4.638177737021716,7.425058569559397,0.3753345251663185,5.139248875579367,9.543497445578902,0.4614920887352296,300,optimizer,0.01,0.04,2001,0.6246654748336815
4.211366878215088,7.578401762830891,0.4442935318010979,4.052226548585241,8.73370584309221,0.5360243839915575,300,optimizer,0.01,0.04,2002,0.5557064681989021
6.523949021439615,7.501921864152981,0.1303629737049768,5.824124447792931,9.194381417117173,0.3665561408024509,300,optimizer,0.01,0.04,2003,0.8696370262950233
1.087704559466839,1.1003336323013084,0.0114774941560734,1.1644228556823328,1.203429946672311,0.0324132626895644,300,optimizer,0.01,0.05,2000,0.9885225058439265
1.0170452540474249,0.9288522420879304,-0.0949483760315297,1.1349989243835734,0.7010261128357159,-0.6190537037092627,300,optimizer,0.01,0.05,2001,1.09494837603153
0.7328222552515151,0.7034335666943976,-0.0417789112555746,0.5110110511537064,0.5280449644611499,0.032258452317268,300,optimizer,0.01,0.05,2002,1.0417789112555746
0.9003000669719108,1.3251592060417208,0.3206098838032249,0.4713756738436008,1.5313873589994382,0.6921904369436722,300,optimizer,0.01,0.05,2003,0.679390116196775
2.133605249342992,3.253574567195312,0.3442273397218527,1.7002520476352094,4.1454226357589015,0.5898483225887184,300,optimizer,0.01,0.06,2000,0.6557726602781474
2.7722686570178667,3.0956849787247416,0.104473266475617,1.8272089484765115,3.139867045367416,0.4180616815694825,300,optimizer,0.01,0.06,2001,0.895526733524383
2.489756633388,3.2569967961426025,0.2355667539075499,3.240192294016039,3.2786850589591348,0.0117403057173524,300,optimizer,0.01,0.06,2002,0.7644332460924502
2.5114388082245047,3.768789032107483,0.3336218114548789,2.4773048023948823,3.979064859279816,0.3774153249557089,300,optimizer,0.01,0.06,2003,0.6663781885451211
13.154456483175366,16.655498614370686,0.210203381613238,17.226078835337375,11.121276948806225,-0.5489299398471013,300,optimizer,0.02,0.01,2000,0.789796618386762
9.47769464469156,20.060418090463905,0.527542516713699,4.661807078623407,18.596039390503726,0.7493118302919917,300,optimizer,0.02,0.01,2001,0.472457483286301
10.271185324758774,16.334098384426674,0.3711813726705864,10.735204775192935,14.863055005299392,0.2777255570025597,300,optimizer,0.02,0.01,2002,0.6288186273294136
13.821652638435069,18.16977379380192,0.2393051891955905,19.44195244338325,24.87458763316644,0.218401015120331,300,optimizer,0.02,0.01,2003,0.7606948108044095
16.241518508052806,25.833825486275902,0.3713080350147508,12.322800965075777,22.761224167856103,0.4586055269172076,300,optimizer,0.02,0.015,2000,0.6286919649852492
