reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
static,17,0.5851644517940567,0.18750229276776137,0.5490040148642407,0.10568615944866677,0.6007497279213189,0.5694759276397998,0.7785958919781463,0.8064136695676134
symmetric,17,0.5838390739663705,0.1870294111443762,0.5489700840091355,0.10602471393244906,0.6007497279213189,0.5692338999387739,0.7797395284877717,0.8075649954856587
asymmetric,17,0.5835550314902733,0.18689654667930336,0.5488513282766533,0.10602691165075877,0.6007497279213189,0.5692289375806198,0.7800672037875653,0.807969668239192
none,18,0.6081191057577654,0.1953495164190678,0.5508282325560364,0.10037832794070639,0.5986542035024495,0.5685885731382577,0.7606765732422626,0.7880709943192719
static,18,0.5853527890119522,0.1870335682798834,0.5469734226539027,0.10516955334929484,0.5986542035024495,0.5702125127916033,0.7796607449820905,0.8044341744306608
symmetric,18,0.5836693739065757,0.1864434962924423,0.5467863698075737,0.10551781306467552,0.5986542035024495,0.5701241061138018,0.7810182820378868,0.8058473866795279
asymmetric,18,0.5831278975116101,0.18619229703734125,0.5467027479195367,0.10557630691364378,0.5986542035024495,0.5699583575870883,0.7816158416582107,0.8064652050509007
none,19,0.6139714468456178,0.19934415913485032,0.5572205345995906,0.10106465676890515,0.6041123464962646,0.5663141832584272,0.7529430779564957,0.7884426465922495
static,19,0.5913410644346889,0.1908712266235594,0.5531468067324877,0.10600627908401647,0.6041123464962646,0.5687662722044728,0.7723382517644208,0.8036146306152038
symmetric,19,0.5900968473556144,0.19042567614389966,0.5530249713678406,0.1062833931558549,0.6041123464962646,0.5686668652513152,0.7734829105840131,0.8047121064186725
asymmetric,19,0.5898254420182455,0.1903019317559347,0.5528546034329839,0.10629517266561601,0.6041123464962646,0.5687422428808687,0.7738134106657263,0.8051639349780271
none,20,0.6117625536739256,0.19899610822291464,0.5526080293890995,0.10417951404955929,0.5980054761486097,0.5638508527921329,0.7524703257563092,0.7818934919920681
static,20,0.5892383786129272,0.1905848219220705,0.5488771178407931,0.10941572504812978,0.5980054761486097,0.5660346329056658,0.7719449048789784,0.7986959212332835
symmetric,20,0.5876100851563067,0.1899925781696877,0.5487011514367094,0.10987099869108831,0.5980054761486097,0.5659424689378394,0.773423312147917,0.8002397169957101
asymmetric,20,0.5872456810253447,0.18985997537538502,0.5486119978749417,0.10990900097642005,0.5980054761486097,0.5658583931717276,0.7737870407594805,0.8007559467483394
none,21,0.5993393593707611,0.1949159222467626,0.5485438520524866,0.11139899639735926,0.5956275170543273,0.5631886289034292,0.7624587881986865,0.7905606511160308
static,21,0.5773909188607809,0.1866633030524457,0.5451453655639551,0.11523504571201827,0.5956275170543273,0.5654431513664606,0.7812751786273209,0.8067225136276144
symmetric,21,0.5760687875390281,0.1861441358033033,0.5451375417181328,0.11557023001769151,0.5956275170543273,0.565215898567472,0.782461053098756,0.8077649580750655
asymmetric,21,0.5755605725743711,0.18590084798630976,0.5450382586275239,0.11563093707791501,0.5956275170543273,0.5651194325637595,0.7830040074209446,0.8082845825028981
none,22,0.6167119745365959,0.20149775325782587,0.5524794294244944,0.10473596689327352,0.5988395497008648,0.5664936697556373,0.7473341250293056,0.7790933839709231
static,22,0.5917408200401486,0.1922427034116474,0.5489683902629949,0.11033750835301151,0.5988395497008648,0.5674191431423246,0.7692987707724946,0.7984787312682371
