reference,bootstrap,gain_reduction_rate,loss_reduction_rate,disposition_gap,gain_opportunities,loss_opportunities
asymmetric,77,0.7334389857369256,0.49515951043338685,0.2382794753035387,31550,39872
static,78,0.7235639584183914,0.5027206301497642,0.22084332826862718,31841,38594
symmetric,78,0.727327844789074,0.5025449522981303,0.22478289249094363,31338,39097
asymmetric,78,0.7304994479444048,0.5031659140788578,0.227333533865547,30794,39641
static,79,0.7100925517849273,0.49619173352290036,0.2139008182620269,34035,39388
symmetric,79,0.7141873690511823,0.4961137630270162,0.2180736060241661,33410,40013
asymmetric,79,0.717340899383733,0.4969614958789519,0.22037940350478114,32778,40645
static,80,0.733713379873792,0.49057124921531703,0.243142130658475,32803,39825
symmetric,80,0.7379859862342655,0.4904641601030366,0.24752182613122886,32254,40374
asymmetric,80,0.7416345119868429,0.4914898805169471,0.25014463146989585,31618,41010
static,81,0.7060753377673059,0.4932406917906503,0.21283464597665563,33529,39723
symmetric,81,0.7090296945615578,0.49378149591639153,0.2152481986451663,32969,40283
asymmetric,81,0.7125564980496564,0.4945054945054945,0.21805100354416185,32302,40950
static,82,0.7205021979064545,0.49066253390158854,0.229839664004866,31621,38715
symmetric,82,0.7245035666088298,0.49041158769827103,0.23409197891055872,31122,39214
asymmetric,82,0.7280532162401284,0.4912478967327155,0.2368053195074129,30517,39819
static,83,0.7313313249150696,0.4893342992835869,0.24199702563148268,31202,37269
symmetric,83,0.7352403940243982,0.4896464178986063,0.24559397612579192,30658,37813
asymmetric,83,0.7391217498418617,0.49058125617942444,0.2485404936624373,30037,38434
static,84,0.7162937728263205,0.5034995513395718,0.21279422148674865,32583,39005
symmetric,84,0.7202889034799738,0.5034970332028784,0.21679187027709534,31983,39605
asymmetric,84,0.7233682462638906,0.5046930870083433,0.21867515925554737,31316,40272
static,85,0.7247969124466992,0.5026850932783589,0.22211181916834033,32129,39291
symmetric,85,0.7283872398390725,0.5029734273454947,0.22541381249357784,31567,39853
asymmetric,85,0.732702370954196,0.5030646038258119,0.22963776712838413,30958,40462
static,86,0.7252894431381887,0.4989439157120493,0.22634552742613934,33599,40243
symmetric,86,0.7292660827544548,0.4984287538053619,0.23083732894909292,33110,40732
asymmetric,86,0.7323370821136959,0.4996738106168604,0.23266327149683547,32455,41387
static,87,0.7196241790318657,0.4898610638687564,0.22976311516310932,32888,38219
symmetric,87,0.7229012345679012,0.4900147260185496,0.2328865085493516,32400,38707
asymmetric,87,0.7257302946361118,0.49147156765550726,0.23425872698060457,31768,39339
static,88,0.726139511458071,0.49377550224809624,0.23236400920997474,31768,38477
symmetric,88,0.7296526531658549,0.4943002792222763,0.2353523739435786,31208,39037
asymmetric,88,0.7329736799084519,0.4954362077660111,0.23753747214244075,30585,39660
static,89,0.7193904989542874,0.5056322267810518,0.21375827217323562,33470,40215
symmetric,89,0.722920080101948,0.5054632062268274,0.21745687387512058,32958,40727
asymmetric,89,0.726631174941191,0.5059815839717717,0.22064959096941927,32308,41377
static,90,0.7228507126781696,0.5015923566878981,0.22125835599027144,33325,40192
symmetric,90,0.7266338721011947,0.5017897420810042,0.22484413002019044,32729,40788
asymmetric,90,0.7297389789378714,0.5025619954560835,0.22717698348178794,32143,41374
static,91,0.7288072598878805,0.49348039092530716,0.23532686896257338,32287,39803
symmetric,91,0.7328446024604348,0.49323938769940706,0.23960521476102775,31783,40307
asymmetric,91,0.7361695296195216,0.494443766027598,0.24172576359192366,31145,40945
static,92,0.7185092332151156,0.4963116583099257,0.22219757490518993,32708,38093
symmetric,92,0.721022833322964,0.4974518173586858,0.2235710159642782,32146,38655
asymmetric,92,0.725,0.4975918044902016,0.2274081955097984,31560,39241
static,93,0.712324541107512,0.49862886117866195,0.21369567992885002,32415,38654
symmetric,93,0.7156090055578234,0.49905665187904746,0.2165523536787759,31847,39222
asymmetric,93,0.7191425275570367,0.4997616718095381,0.21938085574749855,31208,39861
static,94,0.7163603220416224,0.5003614395621417,0.21599888247948063,32915,38734
symmetric,94,0.7196480938416422,0.5005095022163346,0.21913859162530758,32395,39254
asymmetric,94,0.7230769230769231,0.5011288380493678,0.22194808502755525,31785,39864
static,95,0.7240487849387147,0.49708875367184224,0.22696003126687248,32879,38128
symmetric,95,0.7268398268398268,0.49791812139550523,0.2289217054443216,32340,38667
asymmetric,95,0.7300735503014615,0.49916090317331163,0.23091264712814985,31679,39328
static,96,0.7212888515540622,0.49989969406690404,0.22138915748715815,33332,39878
symmetric,96,0.7250931525258079,0.5000494217653455,0.22504373076046236,32742,40468
asymmetric,96,0.727337860569435,0.5018001362265252,0.22553772434290975,32102,41108
static,97,0.7303893455680877,0.5104024377429862,0.21998690782510144,31386,38068
symmetric,97,0.733195382973908,0.5107592472420506,0.2224361357318574,30929,38525
asymmetric,97,0.7367639292315817,0.5115940548546912,0.2251698743768905,30296,39158
static,98,0.7116106030072857,0.5034283933302166,0.20818220967706913,32255,38502
symmetric,98,0.7156788487028972,0.5031609121855084,0.21251793651738882,31686,39071
asymmetric,98,0.7181701030927835,0.504670544099504,0.21349955899327955,31040,39717
static,99,0.717881408276714,0.49204847146649844,0.22583293681021555,32380,38043
symmetric,99,0.7211843385977582,0.4924301342873438,0.22875420431041443,31849,38574
asymmetric,99,0.724770348558077,0.49310872894333846,0.23166161961473852,31243,39180
static,100,0.7252350414046448,0.491280350340753,0.23395469106389177,32122,38591
symmetric,100,0.7291950238992118,0.49125811563825983,0.23793690826095193,31591,39122
asymmetric,100,0.7327046056456301,0.4922895021508893,0.24041510349474082,30962,39751
static,101,0.7177605566977701,0.4979305286320532,0.21983002806571683,31615,38174
symmetric,101,0.7214317903817679,0.49810190326162745,0.2233298871201404,31066,38723
asymmetric,101,0.7251314060446781,0.4987928536938677,0.22633855235081035,30440,39349
static,102,0.7248252316696472,0.5128232875229953,0.21200194414665186,30755,36964
symmetric,102,0.7283786919481553,0.5132882403067746,0.21509045164138074,30167,37552
asymmetric,102,0.7321090367965368,0.5137742129957275,0.21833482380080937,29568,38151
static,103,0.7187059155459419,0.506368510527004,0.21233740501893783,31899,38235
symmetric,103,0.722386917854069,0.506281763537394,0.2161051543166751,31371,38763
asymmetric,103,0.7257697804339353,0.5068367813754893,0.218932999058446,30788,39346
static,104,0.708684522694637,0.49163024866467325,0.21705427402996375,32034,39129
symmetric,104,0.7117686275754785,0.49210871319080274,0.2196599143846758,31499,39664
asymmetric,104,0.7150255713083447,0.4929101790459162,0.22211539226242843,30894,40269
static,105,0.7257502179056158,0.49719200607133823,0.22855821183427755,32124,39530
symmetric,105,0.7302271071553007,0.49681910036673904,0.23340800678856166,31571,40083
asymmetric,105,0.7341751659381577,0.4977556476734774,0.23641951826468027,30885,40769
static,106,0.7252852023539468,0.4951629465492082,0.23012225580473855,30417,37006
symmetric,106,0.7292342688923829,0.495230482280842,0.23400378661154086,29893,37530
asymmetric,106,0.7329858982219497,0.4956259030605543,0.2373599951613954,29358,38065
static,107,0.7233493061173688,0.5083713071527316,0.2149779989646372,32138,39062
symmetric,107,0.7272842278376925,0.5080467901265758,0.2192374377111167,31619,39581
asymmetric,107,0.7304420672767109,0.5087889652425057,0.22165310203420518,31036,40164
static,108,0.7280863627975641,0.4932761158653726,0.2348102469321915,32514,40081
symmetric,108,0.7315207891122487,0.4933307034197096,0.23819008569253913,32036,40559
asymmetric,108,0.7349731122919783,0.4942188107267781,0.24075430156520017,31427,41168
static,109,0.7097798812057301,0.49059338043112594,0.21918650077460416,31483,38643
symmetric,109,0.713077444555638,0.49081713453728065,0.2222603100183574,30977,39149
asymmetric,109,0.7161917311810245,0.49191622036157,0.22427551081945452,30355,39771
static,110,0.7219271961313674,0.48313424067365124,0.23879295545771612,33707,40852
symmetric,110,0.7258560405112129,0.48304859483362733,0.24280744567758555,33176,41383
asymmetric,110,0.7292236740968486,0.48420326402436126,0.24502041007248737,32525,42034
static,111,0.7181893969802698,0.49773399014778325,0.2204554068324866,32387,40600
symmetric,111,0.7225549528080023,0.49700700798131203,0.22554794482669027,31891,41096
asymmetric,111,0.7258585923246808,0.4980356458413185,0.22782294648336227,31243,41744
static,112,0.7230464886251237,0.4945953920017166,0.22845109662340707,31341,37283
symmetric,112,0.7257661748013621,0.49543517954960437,0.2303309952517577,30835,37789
asymmetric,112,0.7293471790462333,0.49619652998489033,0.23315064906134292,30238,38386
static,113,0.7295381583547884,0.5021880698098463,0.2273500885449421,31461,38390
symmetric,113,0.7327087707963172,0.5026223776223776,0.23008639317393964,30955,38896
asymmetric,113,0.7362387587706295,0.5033929204436117,0.23284583832701777,30357,39494
static,114,0.7179967689822294,0.4950969998939892,0.22289976908824022,30950,37732
symmetric,114,0.7209600526056222,0.4958580500169859,0.22510200258863633,30415,38267
asymmetric,114,0.7246930972026565,0.49647524956262223,0.22821784764003428,29814,38868
static,115,0.7223110574747322,0.5048460373548713,0.2174650201198609,33145,39620
symmetric,115,0.7255118303297781,0.5050452201210853,0.22046661020869274,32628,40137
asymmetric,115,0.7284443750975191,0.5058939096267191,0.22255046547080004,32045,40720
static,116,0.7202180535513869,0.5052770448548812,0.21494100869650568,31185,38658
symmetric,116,0.724488466049785,0.5046358969119563,0.2198525691378287,30692,39151
asymmetric,116,0.727309023156774,0.5060195541257194,0.22128946903105462,30056,39787
static,117,0.7253559257253878,0.5066950220541903,0.2186609036711975,31397,38088
