date,observed_assets,total_assets,coverage
20240712,300,300,1.0
20240715,300,300,1.0
20240716,300,300,1.0
20240717,300,300,1.0
20240718,300,300,1.0
20240719,300,300,1.0
20240722,300,300,1.0
20240723,300,300,1.0
20240724,300,300,1.0
20240725,300,300,1.0
20240726,300,300,1.0
20240729,300,300,1.0
20240730,300,300,1.0
20240731,300,300,1.0
20240801,300,300,1.0
20240802,300,300,1.0
20240805,300,300,1.0
20240806,300,300,1.0
20240807,300,300,1.0
20240808,300,300,1.0
20240809,300,300,1.0
20240812,300,300,1.0
20240813,300,300,1.0
20240814,300,300,1.0
20240815,300,300,1.0
20240816,300,300,1.0
20240819,300,300,1.0
20240820,300,300,1.0
20240821,300,300,1.0
20240822,300,300,1.0
20240823,300,300,1.0
20240826,300,300,1.0
20240827,300,300,1.0
20240828,300,300,1.0
20240829,300,300,1.0
20240830,300,300,1.0
20240902,300,300,1.0
20240903,300,300,1.0
20240904,300,300,1.0
20240905,300,300,1.0
20240906,300,300,1.0
20240909,300,300,1.0
20240910,300,300,1.0
20240911,300,300,1.0
20240912,300,300,1.0
20240913,300,300,1.0
20240918,300,300,1.0
20240919,300,300,1.0
20240920,300,300,1.0
20240923,300,300,1.0
20240924,300,300,1.0
20240925,300,300,1.0
20240926,300,300,1.0
20240927,300,300,1.0
20240930,300,300,1.0
20241008,300,300,1.0
20241009,300,300,1.0
20241010,300,300,1.0
20241011,300,300,1.0
20241014,300,300,1.0
20241015,300,300,1.0
20241016,300,300,1.0
20241017,300,300,1.0
20241018,300,300,1.0
20241021,300,300,1.0
20241022,300,300,1.0
20241023,300,300,1.0
20241024,300,300,1.0
20241025,300,300,1.0
20241028,300,300,1.0
20241029,300,300,1.0
20241030,300,300,1.0
20241031,300,300,1.0
20241101,300,300,1.0
20241104,300,300,1.0
20241105,300,300,1.0
20241106,300,300,1.0
20241107,300,300,1.0
20241108,300,300,1.0
20241111,300,300,1.0
20241112,300,300,1.0
20241113,300,300,1.0
20241114,300,300,1.0
20241115,300,300,1.0
20241118,300,300,1.0
20241119,300,300,1.0
20241120,300,300,1.0
20241121,300,300,1.0
20241122,300,300,1.0
20241125,300,300,1.0
20241126,300,300,1.0
20241127,300,300,1.0
20241128,300,300,1.0
20241129,300,300,1.0
20241202,300,300,1.0
20241203,300,300,1.0
20241204,300,300,1.0
20241205,300,300,1.0
20241206,300,300,1.0
20241209,300,300,1.0
20241210,300,300,1.0
20241211,300,300,1.0
20241212,300,300,1.0
20241213,300,300,1.0
20241216,300,300,1.0
20241217,300,300,1.0
20241218,300,300,1.0
20241219,300,300,1.0
20241220,300,300,1.0
20241223,300,300,1.0
20241224,300,300,1.0
20241225,300,300,1.0
20241226,300,300,1.0
20241227,300,300,1.0
20241230,300,300,1.0
20241231,300,300,1.0
20250102,300,300,1.0
20250103,300,300,1.0
20250106,300,300,1.0
20250107,300,300,1.0
20250108,300,300,1.0
20250109,300,300,1.0
20250110,300,300,1.0
20250113,300,300,1.0
20250114,300,300,1.0
20250115,300,300,1.0
20250116,300,300,1.0
20250117,300,300,1.0
20250120,300,300,1.0
20250121,300,300,1.0
20250122,300,300,1.0
20250123,300,300,1.0
20250124,300,300,1.0
20250127,300,300,1.0
20250205,300,300,1.0
20250206,300,300,1.0
20250207,300,300,1.0
20250210,300,300,1.0
20250211,300,300,1.0
20250212,300,300,1.0
20250213,300,300,1.0
20250214,300,300,1.0
20250217,300,300,1.0
20250218,300,300,1.0
20250219,300,300,1.0
20250220,300,300,1.0
20250221,300,300,1.0
20250224,300,300,1.0
20250225,300,300,1.0
20250226,300,300,1.0
20250227,300,300,1.0
20250228,300,300,1.0
20250303,300,300,1.0
20250304,300,300,1.0
20250305,300,300,1.0
20250306,300,300,1.0
20250307,300,300,1.0
20250310,300,300,1.0
20250311,300,300,1.0
20250312,300,300,1.0
20250313,300,300,1.0
20250314,300,300,1.0
20250317,300,300,1.0
20250318,300,300,1.0
20250319,300,300,1.0
20250320,300,300,1.0
20250321,300,300,1.0
20250324,300,300,1.0
20250325,300,300,1.0
20250326,300,300,1.0
20250327,300,300,1.0
20250328,300,300,1.0
20250331,300,300,1.0
20250401,300,300,1.0
20250402,300,300,1.0
20250403,300,300,1.0
20250407,300,300,1.0
20250408,300,300,1.0
20250409,300,300,1.0
20250410,300,300,1.0
20250411,300,300,1.0
20250414,300,300,1.0
20250415,300,300,1.0
20250416,300,300,1.0
20250417,300,300,1.0
20250418,300,300,1.0
20250421,300,300,1.0
20250422,300,300,1.0
20250423,300,300,1.0
20250424,300,300,1.0
20250425,300,300,1.0
20250428,300,300,1.0
20250429,300,300,1.0
20250430,300,300,1.0
20250506,300,300,1.0
20250507,300,300,1.0
20250508,300,300,1.0
20250509,300,300,1.0
20250512,300,300,1.0
20250513,300,300,1.0
20250514,300,300,1.0
20250515,300,300,1.0
20250516,300,300,1.0
20250519,300,300,1.0
20250520,300,300,1.0
20250521,300,300,1.0
20250522,300,300,1.0
20250523,300,300,1.0
20250526,300,300,1.0
20250527,300,300,1.0
20250528,300,300,1.0
20250529,300,300,1.0
20250530,300,300,1.0
20250603,300,300,1.0
20250604,300,300,1.0
20250605,300,300,1.0
20250606,300,300,1.0
20250609,300,300,1.0
20250610,300,300,1.0
20250611,300,300,1.0
20250612,300,300,1.0
20250613,300,300,1.0
20250616,300,300,1.0
20250617,300,300,1.0
20250618,300,300,1.0
20250619,300,300,1.0
20250620,300,300,1.0
20250623,300,300,1.0
20250624,300,300,1.0
20250625,300,300,1.0
20250626,300,300,1.0
20250627,300,300,1.0
20250630,300,300,1.0
20250701,300,300,1.0
20250702,300,300,1.0
20250703,300,300,1.0
20250704,300,300,1.0
20250707,300,300,1.0
20250708,300,300,1.0
20250709,300,300,1.0
20250710,300,300,1.0
20250711,300,300,1.0
20250714,300,300,1.0
20250715,300,300,1.0
20250716,300,300,1.0
20250717,300,300,1.0
20250718,300,300,1.0
20250721,300,300,1.0
20250722,300,300,1.0
20250723,300,300,1.0
20250724,300,300,1.0
20250725,300,300,1.0
20250728,300,300,1.0
20250729,300,300,1.0
20250730,300,300,1.0
20250731,300,300,1.0
20250801,300,300,1.0
20250804,300,300,1.0
20250805,300,300,1.0
20250806,300,300,1.0
20250807,300,300,1.0
20250808,300,300,1.0
20250811,300,300,1.0
20250812,300,300,1.0
20250813,300,300,1.0
20250814,300,300,1.0
20250815,300,300,1.0
20250818,300,300,1.0
20250819,300,300,1.0
20250820,300,300,1.0
20250821,300,300,1.0
20250822,300,300,1.0
20250825,300,300,1.0
20250826,300,300,1.0
20250827,300,300,1.0
20250828,300,300,1.0
20250829,300,300,1.0
20250901,300,300,1.0
20250902,300,300,1.0
20250903,300,300,1.0
20250904,300,300,1.0
20250905,300,300,1.0
20250908,300,300,1.0
20250909,300,300,1.0
20250910,300,300,1.0
20250911,300,300,1.0
20250912,300,300,1.0
20250915,300,300,1.0
20250916,300,300,1.0
20250917,300,300,1.0
20250918,300,300,1.0
20250919,300,300,1.0
20250922,300,300,1.0
20250923,300,300,1.0
20250924,300,300,1.0
20250925,300,300,1.0
20250926,300,300,1.0
20250929,300,300,1.0
20250930,300,300,1.0
20251009,300,300,1.0
20251010,300,300,1.0
20251013,300,300,1.0
20251014,300,300,1.0
20251015,300,300,1.0
20251016,300,300,1.0
20251017,300,300,1.0
20251020,300,300,1.0
20251021,300,300,1.0
20251022,300,300,1.0
20251023,300,300,1.0
20251024,300,300,1.0
20251027,300,300,1.0
20251028,300,300,1.0
20251029,300,300,1.0
20251030,300,300,1.0
20251031,300,300,1.0
20251103,300,300,1.0
20251104,300,300,1.0
20251105,300,300,1.0
20251106,300,300,1.0
20251107,300,300,1.0
20251110,300,300,1.0
20251111,300,300,1.0
20251112,300,300,1.0
20251113,300,300,1.0
20251114,300,300,1.0
20251117,300,300,1.0
20251118,300,300,1.0
20251119,300,300,1.0
20251120,300,300,1.0
20251121,300,300,1.0
20251124,300,300,1.0
20251125,300,300,1.0
20251126,300,300,1.0
20251127,300,300,1.0
20251128,300,300,1.0
20251201,300,300,1.0
20251202,300,300,1.0
20251203,300,300,1.0
20251204,300,300,1.0
20251205,300,300,1.0
20251208,300,300,1.0
20251209,300,300,1.0
20251210,300,300,1.0
20251211,300,300,1.0
20251212,300,300,1.0
20251215,300,300,1.0
20251216,300,300,1.0
20251217,300,300,1.0
20251218,300,300,1.0
20251219,300,300,1.0
20251222,300,300,1.0
20251223,300,300,1.0
20251224,300,300,1.0
20251225,300,300,1.0
20251226,300,300,1.0
20251229,300,300,1.0
20251230,300,300,1.0
20251231,300,300,1.0
20260105,300,300,1.0
20260106,300,300,1.0
20260107,300,300,1.0
20260108,300,300,1.0
20260109,300,300,1.0
20260112,300,300,1.0
20260113,300,300,1.0
20260114,300,300,1.0
20260115,300,300,1.0
20260116,300,300,1.0
20260119,300,300,1.0
20260120,300,300,1.0
20260121,300,300,1.0
20260122,300,300,1.0
20260123,300,300,1.0
20260126,300,300,1.0
20260127,300,300,1.0
20260128,300,300,1.0
20260129,300,300,1.0
20260130,300,300,1.0
20260202,300,300,1.0
20260203,300,300,1.0
20260204,300,300,1.0
20260205,300,300,1.0
20260206,300,300,1.0
20260209,300,300,1.0
20260210,300,300,1.0
20260211,300,300,1.0
20260212,300,300,1.0
20260213,300,300,1.0
20260224,300,300,1.0
20260225,300,300,1.0
20260226,300,300,1.0
20260227,300,300,1.0
20260302,300,300,1.0
20260303,300,300,1.0
20260304,300,300,1.0
20260305,300,300,1.0
20260306,300,300,1.0
20260309,300,300,1.0
20260310,300,300,1.0
20260311,300,300,1.0
20260312,300,300,1.0
20260313,300,300,1.0
20260316,300,300,1.0
20260317,300,300,1.0
20260318,300,300,1.0
20260319,300,300,1.0
20260320,300,300,1.0
20260323,300,300,1.0
20260324,300,300,1.0
20260325,300,300,1.0
20260326,300,300,1.0
20260327,300,300,1.0
20260330,300,300,1.0
20260331,300,300,1.0
20260401,300,300,1.0
20260402,300,300,1.0
20260403,300,300,1.0
20260407,300,300,1.0
20260408,300,300,1.0
20260409,300,300,1.0
20260410,300,300,1.0
20260413,300,300,1.0
20260414,300,300,1.0
20260415,300,300,1.0
20260416,300,300,1.0
20260417,300,300,1.0
20260420,300,300,1.0
20260421,300,300,1.0
20260422,300,300,1.0
20260423,300,300,1.0
20260424,300,300,1.0
20260427,300,300,1.0
20260428,300,300,1.0
20260429,300,300,1.0
20260430,300,300,1.0
20260506,300,300,1.0
20260507,300,300,1.0
20260508,300,300,1.0
20260511,300,300,1.0
20260512,300,300,1.0
20260513,300,300,1.0
20260514,300,300,1.0
20260515,300,300,1.0
20260518,300,300,1.0
20260519,300,300,1.0
20260520,300,300,1.0
20260521,300,300,1.0
20260522,300,300,1.0
20260525,300,300,1.0
20260526,300,300,1.0
20260527,300,300,1.0
20260528,300,300,1.0
20260529,300,300,1.0
