seed,method,episode,day,date,regime,wealth,reference,net_return,drawdown,cash,turnover,fee,cumulative_fee,effective_holdings,max_stock_weight
29,dynamic,3,496,20250120,real_market,1.0010070112226763,0.9971987294581601,0.0008289264026581922,0.0,0.05744039246349134,0.039316726067752036,7.864744396148106e-05,0.002126451311296131,289.362719763445,0.0055230786990855055
29,dynamic,3,497,20250121,real_market,0.9992431144900963,0.9976076064645474,-0.0017621222556928329,0.0017621222556928329,0.04681398861708685,0.03596782062329034,7.20080812446264e-05,0.0021984593925407575,288.7815560128945,0.005763553715013791
29,dynamic,3,498,20250122,real_market,0.9903380585534702,0.9972441290689935,-0.008911801149783516,0.01065821972233194,0.03793994313992968,0.03730483311367687,7.45531952520875e-05,0.0022730125877928452,288.4796688501088,0.00525434563489483
29,dynamic,4,499,20250123,real_market,0.9923259273058577,0.9969982189808367,0.0020072628081071464,0.008672350762274017,0.030716597937459893,0.03488818527084213,6.910219533515913e-05,0.0023421147831280045,289.24546991548164,0.0052861010875839675
29,dynamic,4,500,20250124,real_market,1.0008995771288884,0.9977784906104471,0.00863995345391011,0.00010732601528595787,0.025104552668160654,0.031229961217364727,6.198060044949484e-05,0.0024040953835774994,288.770226141925,0.004734593281775432
29,dynamic,4,501,20250127,real_market,0.9992219092305782,0.9980671743344733,-0.001676160063053156,0.0017833061827586816,0.02093326552256859,0.03225411928416842,6.45662687043778e-05,0.002468661652281877,288.084138685184,0.005027580108971488
29,dynamic,4,502,20250205,real_market,0.9968250409161595,0.9980050676635577,-0.0023987347477841814,0.004177763252036337,0.017518038007969937,0.032866863562359266,6.56825803184031e-05,0.00253434423260028,287.8331229310192,0.0049273668480592624
29,dynamic,4,503,20250206,real_market,1.0116421018863975,1.0007324745081256,0.014864254369673535,0.0,0.015525121637962347,0.03031970741079637,6.044688716066616e-05,0.0025947911197609463,287.5697454965814,0.005444826688088251
29,dynamic,5,504,20250207,real_market,1.0249118168698397,1.0055683429804685,0.013117005469323928,0.0,0.013399059475740882,0.035045377960070845,7.09067596418586e-05,0.0026656978794028048,285.27601055023126,0.005601713661622362
29,dynamic,5,505,20250210,real_market,1.0276878499932491,1.0099922443830247,0.002708558021984553,0.0,0.011588518595162836,0.031020054773371043,6.358564139435532e-05,0.00272928352079716,283.34161417936593,0.00565217196895556
29,dynamic,5,506,20250211,real_market,1.021538907888147,1.012301577084049,-0.005983278001333359,0.005983278001333359,0.00959554861178942,0.032949121721460285,6.772282412218678e-05,0.002797006344919347,281.1491098613549,0.005995230762703611
29,dynamic,5,507,20250212,real_market,1.030934258661013,1.016028113399442,0.009197252009019774,0.0,0.008214266908642702,0.02931541372657254,5.989367144506421e-05,0.002856900016364411,279.18159853723665,0.005839258389288296
