method,method_label,seed,terminal_wealth,annualized_return,annualized_volatility,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash,mean_effective_holdings,mean_max_stock_weight
static,Static CPT-PG,3141,1.2431576355189455,0.17789418331130546,0.1698297476585412,1.0500139355045701,0.12736130337223728,10.290953871437857,0.023628289326397635,0.023219383120392803,0.014182227108336694,255.27455679510405,0.010303533911515358
expected,Expected-Wealth PG,3141,1.1125360950121783,0.08352583503155242,0.15949378863955296,0.5836819141293842,0.13336616426070746,10.730407695417576,0.010487588002852575,0.023402845740827165,0.01459267318383378,185.21694225529222,0.02687471819205743
exponential,Exponential-Utility PG,3141,1.207444054846579,0.15234772162077936,0.16522858521226966,0.9414745962382846,0.11482981236620682,13.413849190245603,0.015464916289459252,0.030786382781309025,0.014228456530433094,179.33792634015444,0.026516812844526158
dynamic,DRCPT-PG,42,1.2120229359553831,0.15563342141713776,0.14369189704388774,1.0794561621135688,0.10846492828308729,10.192782974255875,0.02080128032656968,0.022421941391247507,0.014880295870046313,238.03297898794239,0.012340224462496462
symmetric,Symmetric CPT-PG,42,1.084043253826732,0.06258436384761779,0.1415808468330633,0.5002396531473741,0.10297400900149445,14.802170719031908,0.00567776547251095,0.03270477305417056,0.014037823900151836,186.9659472400624,0.021020732638041585
static,Static CPT-PG,42,1.2108557595297211,0.15479617495020626,0.16764882214330684,0.9430920243745388,0.11596116085336317,19.531883052576728,0.010795464982159216,0.04466428335871637,0.014269156568699816,235.6196853758254,0.013279384908087027
expected,Expected-Wealth PG,42,1.1855215869554687,0.13657361198129547,0.1596696183220789,0.8826037961568103,0.13306231651782674,10.84825940485631,0.017101507258613164,0.02419922913481746,0.014981299072872958,238.6885192690466,0.012087278884857862
exponential,Exponential-Utility PG,42,1.0339657208219162,0.025444315702110698,0.14937795595829836,0.24361881845550676,0.11954556296320129,8.426164255462737,0.0040309825197029575,0.017892365591304166,0.013744920179056578,119.64702034641736,0.03962949472349519
dynamic,DRCPT-PG,3407,1.0608117790941824,0.0454087946109929,0.12936508977558855,0.40846294012831713,0.09787497631312869,8.270908548771558,0.00735249080987778,0.017684710273069174,0.014169293361977666,166.94547326660398,0.027541899633606926
symmetric,Symmetric CPT-PG,3407,1.2735936075263212,0.19952221834329076,0.18829338473668797,1.0610370037681252,0.1373786822578832,17.136167668623735,0.015965857291841874,0.03830930883706513,0.013865655606575608,161.0153424231929,0.033020870970233075
static,Static CPT-PG,3407,1.0513633422386246,0.03839675720397984,0.12604026150231912,0.3626848922939178,0.10479270490041759,9.081235906054085,0.005655985899934918,0.019474069152695655,0.013167328772117542,154.97018077449349,0.018720169998626347
expected,Expected-Wealth PG,3407,1.0615586926734901,0.04596244554061446,0.16328635965521826,0.35761677310759976,0.14765102009839015,10.598152133121495,0.0058084364047866445,0.023175743803368856,0.014671070589349371,201.44194160294515,0.027842154618194892
exponential,Exponential-Utility PG,3407,1.1752950358549739,0.12919051542808524,0.17382555270374006,0.7863879022256798,0.1493986770866489,16.07986426124553,0.01090152460288217,0.03782704323408172,0.01447305577377413,201.14185099364036,0.034481640961023
dynamic,DRCPT-PG,592,1.2702171699158806,0.1971292626657868,0.14400417818796568,1.3225848845450439,0.10798402863474388,13.802719878701758,0.019577095839845186,0.032144864938386294,0.013885446823803967,179.50362600643876,0.025410497835077143
symmetric,Symmetric CPT-PG,592,1.1058455987272262,0.07862055887543162,0.15022763840843695,0.579938989062672,0.12882228217491276,10.81309507657161,0.009788649593635639,0.023517547792297415,0.014704839471482474,239.93039701927975,0.010066216403191011
static,Static CPT-PG,592,1.0569801664472511,0.04256708482662419,0.13738305050117539,0.3729271774430444,0.12142142890926799,13.05571365539647,0.004364385429340268,0.02849767991536479,0.014125035228117516,191.89464385712114,0.016443564953471945
expected,Expected-Wealth PG,592,1.0357765775058565,0.026794992964516595,0.13072581530267333,0.2682958215117894,0.10944542520124922,10.278683631478852,0.003480657522748282,0.021941601581507958,0.01370661553649053,176.87502883720154,0.017603032287729737
exponential,Exponential-Utility PG,592,1.0998261126796047,0.0742009608916796,0.1475529721787599,0.5599521415237627,0.12311643815474138,10.93979790060391,0.009125041759143835,0.023803488165354,0.01452954760248596,211.6725654761705,0.016845409829432497
dynamic,DRCPT-PG,7,1.2245922196045564,0.16463709232955526,0.1757432932488857,0.9560377058527912,0.13172196873556596,9.924973240803663,0.022629000013945664,0.022376368011623002,0.014269219144342623,235.9555574180769,0.013396959588278837
